p	score
ENSG00000000003	3.82174036164855e-07	-2.36589777266232
ENSG00000001497	0.00414478183739593	-0.508203089794375
ENSG00000002549	0.512370993962068	-0.0143127586118962
ENSG00000002834	6.21035411552142e-08	2.81840137296213
ENSG00000002919	0.020716481717341	0.290937348943316
ENSG00000002933	6.3996886589445e-06	1.7145211564092
ENSG00000003056	0.0536361451335163	0.18358289221557
ENSG00000003756	0.146967745454636	-0.0906417464857494
ENSG00000004478	0.00100109231173736	-0.731603829080529
ENSG00000004700	0.175442258317775	0.0768877347530243
ENSG00000005020	1.51552417676218e-09	3.81254464645638
ENSG00000005075	0.150700411289314	0.0886428827839118
ENSG00000005175	0.0110013645248925	-0.371435183724105
ENSG00000005206	2.29956280558395e-11	5.03171150049499
ENSG00000005302	0.96117044966081	-6.30285383185369e-05
ENSG00000005339	0.877386259367365	-0.000659705147734056
ENSG00000005486	0.740191485760226	-0.00326063670958756
ENSG00000006712	0.0641454852490943	0.165404322964713
ENSG00000006715	3.81302599085227e-10	-4.20354506285992
ENSG00000007168	0.000117726914221896	-1.11535399821097
ENSG00000007202	0.0017617643629854	0.639487669937046
ENSG00000007541	0.957152302114999	-7.69144445111723e-05
ENSG00000008056	0.0112782926844734	-0.368146650423889
ENSG00000008130	1.71341516561127e-05	1.50284603229206
ENSG00000008282	8.60106903619747e-05	-1.1759120499278
ENSG00000008382	0.639940394886042	0.00682378014300147
ENSG00000009954	0.331174442233651	0.035058287684924
ENSG00000010256	0.0465552049046125	-0.19844118956073
ENSG00000010270	0.00022395270294557	-0.994581292209532
ENSG00000010278	8.69782428406065e-05	-1.17373622540747
ENSG00000011295	0.870669017205375	-0.000737057765234072
ENSG00000011405	5.28998375549912e-05	-1.27169598374003
ENSG00000011454	2.05371147718803e-08	-3.10533887102063
ENSG00000013297	0.00154569933761289	0.66044220223742
ENSG00000013306	4.00506480953566e-10	4.18943524538458
ENSG00000013374	0.01214412088859	-0.358422337796242
ENSG00000014824	5.13006540013665e-06	-1.76324185551998
ENSG00000014919	1.06480408455277e-12	-5.98338050011938
ENSG00000015171	0.0451681204086526	-0.201668519165414
ENSG00000018610	0.215753037989987	-0.0619259029555789
ENSG00000022267	0.899370143450882	-0.000438428100830378
ENSG00000023734	0.879327377124999	0.0006382130455983
ENSG00000025796	0.0364547793432782	-0.225058986911377
ENSG00000026297	1.43384269497137e-11	5.17504203803114
ENSG00000028137	2.17696148213384e-10	4.36544585261767
ENSG00000028310	0.0325853857552698	-0.237663343080978
ENSG00000031003	0.321901791200056	-0.0366532080747623
ENSG00000031698	0.344570074417413	0.0328783121261466
ENSG00000033178	0.00102941784092314	-0.726960554119306
ENSG00000034677	0.196390719202421	-0.0685765202213617
ENSG00000034693	0.0163554222489427	-0.320202111146985
ENSG00000035141	0.25171626374612	-0.0515901467063993
ENSG00000035687	0.739556585661641	-0.00327822600206051
ENSG00000038002	0.709295509720884	0.00418513591268173
ENSG00000038274	0.00199114556451407	-0.620091118628637
ENSG00000038358	0.654316178251449	-0.00620699165192689
ENSG00000039319	0.0246117628565638	-0.270228868926846
ENSG00000040531	0.205870183789324	-0.065210227840607
ENSG00000042445	0.321019131774901	0.0368088886289667
ENSG00000043514	0.0854482504208546	0.137723238680065
ENSG00000046647	2.8359885353874e-05	-1.39800716545915
ENSG00000047249	0.000385148682711303	-0.89631937782252
ENSG00000047849	0.351503636306391	0.0318039448155077
ENSG00000048828	0.0350603676200367	0.229412478501208
ENSG00000049541	0.0680774971293496	0.159511940372737
ENSG00000049656	7.24053860206533e-06	1.68750971116157
ENSG00000050393	0.687731304084372	0.00491761298643644
ENSG00000051009	0.73348864284677	0.00344924717784434
ENSG00000051108	0.663186612764004	0.00584552850765683
ENSG00000051128	7.36012541998568e-14	6.84599127637551
ENSG00000053770	0.0587117238044208	-0.174312155385337
ENSG00000054148	0.000839754320516461	-0.761073446839616
ENSG00000054523	4.31038851513532e-14	-7.02237892992334
ENSG00000055044	8.30185266319834e-07	2.18020225053857
ENSG00000055070	1.2557016723816e-06	2.08307841324272
ENSG00000055130	1.30487722404391e-06	-2.07413155275051
ENSG00000055208	3.08584854063999e-13	6.37938597192023
ENSG00000055483	0.000400916026135287	0.889181752361554
ENSG00000055917	2.72810803058339e-05	-1.40599006120308
ENSG00000056097	0.0081166101307199	-0.412465921261166
ENSG00000057704	0.222287050767751	-0.0598697985395876
ENSG00000058091	3.16436868578748e-12	-5.64088346619848
ENSG00000058673	0.00375970091234584	-0.522648931668282
ENSG00000058799	0.315697970831729	0.0377621480936497
ENSG00000059804	0.000567972778135402	-0.828011121542763
ENSG00000060237	0.007117423408581	-0.430641078535362
ENSG00000061794	0.360039882657188	0.030528788446373
ENSG00000062582	8.43304451084193e-05	1.17975255354142
ENSG00000063046	0.117923010684931	-0.108885955621891
ENSG00000064042	0.00355250038615363	-0.531109704518208
ENSG00000064102	1.64076682959909e-06	-2.02103174307737
ENSG00000064419	0.766506473105924	-0.00258092198386814
ENSG00000064490	0.0995075475372663	-0.123779149548572
ENSG00000064607	0.406533070856357	-0.0243981307523758
ENSG00000064726	1.90312654693667e-19	-11.375089251639
ENSG00000064999	7.22406700558847e-10	4.02112201036258
ENSG00000065000	0.503544658156992	0.0149929954245975
ENSG00000065150	1.97974190855941e-05	1.47254116358843
ENSG00000065559	0.00224411851733294	-0.601331193332723
ENSG00000065809	0.302365028021252	0.04026689909536
ENSG00000066044	5.26084886284221e-13	6.20798407515677
ENSG00000066056	0.140119862546186	0.094489985542449
ENSG00000066322	0.000324001655811979	-0.927287027237299
ENSG00000066557	0.120293395793347	0.1071865154275
ENSG00000066926	0.00710686289949333	0.43084804176413
ENSG00000067082	2.12706872927524e-10	4.37218043373522
ENSG00000067167	0.00391540742486454	0.516620532634356
ENSG00000067225	0.933021880869547	-0.000190463038465924
ENSG00000067334	0.350694382143994	-0.0319275204151031
ENSG00000067369	6.85036600403111e-10	-4.03619706292572
ENSG00000067955	0.00434182962340412	0.50137065381119
ENSG00000068383	0.282815088386267	-0.0442693324342997
ENSG00000068394	0.0100329526092155	-0.38371136259045
ENSG00000068650	4.56728440546005e-09	-3.50805602535153
ENSG00000068885	3.87991990344097e-26	-17.4078525498851
ENSG00000068912	2.2594231063184e-16	-8.81253672660209
ENSG00000069329	1.1249065515013e-08	-3.26485227744501
ENSG00000069849	0.529315427388607	-0.0130745698623576
ENSG00000070087	4.59741417670771e-15	-7.77265357544031
ENSG00000070413	0.109420253136331	-0.11536367328401
ENSG00000070756	1.7029614321331e-13	6.57184318584296
ENSG00000070759	7.60360285499684e-09	-3.36989821218683
ENSG00000071051	8.47149933233464e-08	-2.73940059979567
ENSG00000071127	0.0547456705036937	0.18146847502269
ENSG00000071242	0.307252843120294	0.0393287406861986
ENSG00000071537	0.00178858078039776	0.637082833636269
ENSG00000071575	0.0730081996969745	-0.152685250042372
ENSG00000071655	1.10302819483687e-05	1.59642309483768
ENSG00000071889	0.853258252399294	-0.000959471609914748
ENSG00000072110	1.16883905261067e-16	9.04431236120658
ENSG00000072364	8.49320533552069e-15	-7.56494827234664
ENSG00000072609	0.316979111035227	-0.0375303021593263
ENSG00000072864	1.46335705958608e-05	1.53615837570615
ENSG00000072958	0.00274716575336689	0.570050051601281
ENSG00000073050	0.00574272658133757	0.460903460765504
ENSG00000073578	7.14395794238247e-10	-4.02428551024434
ENSG00000074356	0.00276406226855312	0.569110519140879
ENSG00000074416	0.0145142420303731	-0.335355107340375
ENSG00000074696	1.08813015200068e-06	-2.11654257654668
ENSG00000075151	0.356792340858746	-0.0310078833889904
ENSG00000075568	0.00303458517032717	0.554867955376318
ENSG00000075785	0.628936128045448	0.00732280811776044
ENSG00000075856	0.0693096304196241	0.157750513270186
ENSG00000076043	5.03390236702341e-07	2.29942303695414
ENSG00000076513	0.000434363034632334	0.874983360403333
ENSG00000077063	4.18090497158697e-11	-4.85193496704664
