GSM31251.tmn_LEVEL	GSM6641.tmn_LEVEL	GSM6654.tmn_LEVEL	GSM6652.tmn_LEVEL	GSM31548.tmn_LEVEL	GSM31382.tmn_LEVEL	GSM31504.tmn_LEVEL	GSM31481.tmn_LEVEL	GSM6629.tmn_LEVEL	GSM31510.tmn_LEVEL	GSM31502.tmn_LEVEL	GSM6668.tmn_LEVEL	GSM6661.tmn_LEVEL	GSM31428.tmn_LEVEL	GSM7601.tmn_LEVEL	GSM6665.tmn_LEVEL	GSM6669.tmn_LEVEL	GSM31356.tmn_LEVEL	GSM6655.tmn_LEVEL	GSM7592.tmn_LEVEL	GSM6628.tmn_LEVEL	GSM31314.tmn_LEVEL	GSM6671.tmn_LEVEL	GSM31403.tmn_LEVEL	GSM6673.tmn_LEVEL	GSM31545.tmn_LEVEL	GSM31440.tmn_LEVEL	GSM31256.tmn_LEVEL	GSM7580.tmn_LEVEL	GSM6670.tmn_LEVEL	GSM31351.tmn_LEVEL	GSM31594.tmn_LEVEL	GSM31368.tmn_LEVEL	GSM31470.tmn_LEVEL	GSM31578.tmn_LEVEL	GSM31587.tmn_LEVEL	GSM6624.tmn_LEVEL	GSM6659.tmn_LEVEL	GSM31585.tmn_LEVEL	GSM6625.tmn_LEVEL	GSM6644.tmn_LEVEL	GSM6672.tmn_LEVEL	GSM31260.tmn_LEVEL	GSM6651.tmn_LEVEL	GSM6676.tmn_LEVEL	GSM31388.tmn_LEVEL	GSM7574.tmn_LEVEL	GSM31418.tmn_LEVEL	GSM6666.tmn_LEVEL	GSM31445.tmn_LEVEL	GSM6664.tmn_LEVEL	GSM31559.tmn_LEVEL	GSM31358.tmn_LEVEL	GSM6643.tmn_LEVEL	GSM6633.tmn_LEVEL	GSM6640.tmn_LEVEL	GSM6656.tmn_LEVEL	GSM6632.tmn_LEVEL	GSM31520.tmn_LEVEL	GSM31357.tmn_LEVEL	GSM6637.tmn_LEVEL	GSM31376.tmn_LEVEL	GSM31349.tmn_LEVEL	GSM31489.tmn_LEVEL	GSM6635.tmn_LEVEL	GSM6647.tmn_LEVEL	GSM6646.tmn_LEVEL	GSM31344.tmn_LEVEL	GSM31276.tmn_LEVEL	GSM31480.tmn_LEVEL	GSM31363.tmn_LEVEL	GSM31496.tmn_LEVEL	GSM31566.tmn_LEVEL	GSM31309.tmn_LEVEL	GSM6648.tmn_LEVEL	GSM31518.tmn_LEVEL	GSM31575.tmn_LEVEL	GSM31485.tmn_LEVEL	GSM7589.tmn_LEVEL	GSM31519.tmn_LEVEL	GSM31567.tmn_LEVEL	GSM31265.tmn_LEVEL	GSM31416.tmn_LEVEL	GSM6630.tmn_LEVEL	GSM31593.tmn_LEVEL	GSM31302.tmn_LEVEL	GSM6627.tmn_LEVEL	GSM31511.tmn_LEVEL	GSM31479.tmn_LEVEL	GSM31601.tmn_LEVEL	GSM31366.tmn_LEVEL	GSM31506.tmn_LEVEL	GSM6667.tmn_LEVEL	GSM31487.tmn_LEVEL	GSM6677.tmn_LEVEL	GSM6658.tmn_LEVEL	GSM31422.tmn_LEVEL	GSM7577.tmn_LEVEL	GSM6645.tmn_LEVEL	GSM31305.tmn_LEVEL	GSM31471.tmn_LEVEL	GSM6662.tmn_LEVEL	GSM31499.tmn_LEVEL	GSM31462.tmn_LEVEL	GSM31614.tmn_LEVEL	GSM31586.tmn_LEVEL	GSM31547.tmn_LEVEL	GSM31441.tmn_LEVEL	GSM7571.tmn_LEVEL	GSM31437.tmn_LEVEL	GSM31266.tmn_LEVEL	GSM31554.tmn_LEVEL	GSM6657.tmn_LEVEL	GSM6636.tmn_LEVEL	GSM6649.tmn_LEVEL	GSM31590.tmn_LEVEL	GSM31399.tmn_LEVEL	GSM31407.tmn_LEVEL	GSM6634.tmn_LEVEL	GSM31277.tmn_LEVEL	GSM31527.tmn_LEVEL	GSM31429.tmn_LEVEL	GSM31456.tmn_LEVEL	GSM31600.tmn_LEVEL	GSM6626.tmn_LEVEL	GSM7598.tmn_LEVEL	GSM31308.tmn_LEVEL	GSM31537.tmn_LEVEL	GSM31562.tmn_LEVEL	GSM31371.tmn_LEVEL	GSM31613.tmn_LEVEL	GSM6660.tmn_LEVEL	GSM31201.tmn_LEVEL	GSM6631.tmn_LEVEL	GSM6642.tmn_LEVEL	GSM31534.tmn_LEVEL	GSM31528.tmn_LEVEL	GSM31378.tmn_LEVEL	GSM6653.tmn_LEVEL	GSM31556.tmn_LEVEL	GSM31589.tmn_LEVEL	GSM6650.tmn_LEVEL	GSM31602.tmn_LEVEL	GSM7583.tmn_LEVEL	GSM31392.tmn_LEVEL	GSM31546.tmn_LEVEL	GSM31532.tmn_LEVEL	GSM31526.tmn_LEVEL	GSM7595.tmn_LEVEL	GSM31409.tmn_LEVEL	GSM31304.tmn_LEVEL	GSM31569.tmn_LEVEL	GSM7568.tmn_LEVEL	GSM31512.tmn_LEVEL	GSM6674.tmn_LEVEL	GSM6639.tmn_LEVEL	GSM31564.tmn_LEVEL	GSM31394.tmn_LEVEL	GSM31384.tmn_LEVEL	GSM6638.tmn_LEVEL	GSM6675.tmn_LEVEL	GSM31609.tmn_LEVEL	GSM7586.tmn_LEVEL	GSM31472.tmn_LEVEL	GSM31420.tmn_LEVEL	GSM31224.tmn_LEVEL	GSM6663.tmn_LEVEL
ENSG00000113643	562.6315	440.636	331.1375	414.2555	1429.0175	418.2185	555.2065	647.3005	479.4625	460.5915	296.435	433.4595	913.9935	489.464	580.03	572.5515	492.5395	679.8985	406.766	583.175	389.1395	492.0985	520.022	424.295	550.5395	625.9835	382.255	597.9015	589.0105	456.5335	517.102	608.2665	410.0865	559.71	502.934	638.153	465.677	423.4485	584.798	452.9995	490.762	457.5135	380.374	612.0805	464.059	441.0485	659.7245	430.8615	646.168	377.3915	669.993	496.2355	779.813	419.4595	463.8215	403.983	425.39	474.232	793.1435	710.553	543.7505	434.884	541.955	460.041	454.7515	430.443	539.135	566.4925	437.4725	452.2605	617.278	254.218	943.6365	446.5055	574.933	746.459	566.48	449.8385	632.2795	982.3565	415.1495	437.8055	382.714	406.498	633.1455	465.847	386.122	443.4395	675.962	571.363	613.745	437.1925	536.779	438.8615	402.0185	423.663	457.706	713.9945	417.8815	520.56	500.498	640.5885	452.2695	396.8525	563.469	496.265	606.3105	433.525	688.913	403.7495	449.125	539.7565	471.385	519.284	545.769	543.419	433.9055	446.31	366.3975	419.6385	400.8245	450.2345	452.4195	563.833	388.893	504.0205	427.5295	1008.7285	522.758	352.904	556.3985	514.3365	501.9695	373.326	411.089	986.7585	782.9495	431.2825	502.022	793.03	576.142	673.692	531.4825	646.384	527.351	517.337	703.112	386.274	480.464	393.608	422.908	577.876	1116.947	447.382	418.749	508.496	1099.8595	211.2455	473.013	582.3185	585.9855	586.6745	630.01	369.9855	440.27	382.963	933.0855
ENSG00000113649	611.932	438.571	333.18	319.115	82.7716	327.544	262.923	276.713	425.178	245.108	339.928	428.193	777.533	294.631	728.491	392.396	309.804	317.433	502.709	361.128	281.16	362.016	385.939	424.521	667.735	324.979	350.875	668.039	423.733	346.626	458.134	264.159	280.035	229.712	360.309	202.719	312.436	362.05	248.453	143.73	273.776	470.452	153.743	406.421	428.138	227.626	324.03	234.629	714.088	143.816	395.114	340.573	127.982	343.064	497.272	341.218	423.765	393.467	259.548	294.88	486.289	291.548	258.623	134.38	386.891	301.279	262.994	349.723	311.085	193.607	331.482	193.026	309.943	315.773	552.571	245.724	329.492	225.728	468.06	131.835	443.346	318.211	392.881	443.779	301.223	439.78	356.568	451.317	347.394	128.627	242.726	523.015	422.878	201.031	317.748	428.246	396.205	404.896	428.211	396.322	296.224	314.541	333.721	271.867	396.681	276.151	361.966	255.357	368.741	252.256	252.058	279.316	395.299	461.175	603.055	396.655	363.148	322.328	340.737	393.797	192.57	302.758	322.427	230.285	269.402	336.016	339.113	298.807	318.283	267.979	261.076	373.444	358.385	436.018	342.808	338.759	310.372	359.113	369.425	265.487	322.713	229.794	210.958	363.303	215.459	322.401	465.426	258.014	284.732	306.869	468.669	202.959	623.53	318.466	500.289	331.806	242.453	25.9011	329.368	269.594	426.528	284.795	445.382	356.156	308.403	240.275	512.288
ENSG00000113716	595.699	829.263	737.474	875.426	1248.47	1205.38	1174.4	1311.92	799.727	927.317	1284.84	506.465	1317.45	953.132	995.397	950.372	627.228	1331.37	734.983	1060.31	795.172	967.747	978.748	852.202	906.937	897.633	1062.18	530.42	1455.03	1018.58	1163.82	1032.18	1123.12	1286.77	1112.55	1100.46	822.391	972.788	838.869	847.446	848.514	954.851	858.086	948.189	966.264	1304.28	1094.9	1130.03	1158.81	943.878	1302.75	1205.68	1706.31	938.931	851.795	848.658	799.328	946.598	1640.47	1261.2	740.735	1395.83	1355.22	1050.08	723.053	848.507	815.816	1020.06	979.41	1104.25	1113.99	1746.23	1484.58	924.478	739.015	1284.98	1090.06	1356.89	1179.1	1353.38	1315.51	1022.98	707.157	972.764	924.482	710.228	790.829	638.619	1267.09	1463.86	1102.21	1067.8	1066.16	1620.96	952.395	867.269	749.916	1217.88	704.035	1019.86	843.746	681.753	1213.94	1198.21	960.942	1312.11	989.225	943.137	1149.78	832.315	754.063	1239.01	963.55	835.712	823.138	1004.82	911.366	799.663	817.768	832.806	1527.84	1046.62	1177.32	960.464	812.882	1234.04	921.937	1123.83	1511.61	1361.13	1124.88	399.947	786.175	1009.16	800.203	1470.27	1560.78	1314.84	1020.4	1084.31	1230.8	822.132	1019.72	1166.21	931.008	1033.23	1127.44	919.012	1157.57	979.41	758.036	1410.02	1117.31	1133.21	1211.95	852.752	1305.41	1820.24	1406.14	792.654	1169.89	938.055	1252.42	1347.84	854.067	979.514	895.813
ENSG00000113916	471.36	560.75	452.684	577.235	180.236	573.511	783.689	484.42	316.155	256.041	621.01	749.117	619.838	294.705	394.483	508.161	675.006	559.652	337.087	400.59	265.724	472.551	313.871	369.971	465.059	477.793	343.47	443.82	600.425	422.081	454.746	377.195	376.86	482.676	411.109	362.359	451.256	412.27	314.843	320.652	347.978	348.469	335.33	655.73	356.489	375.419	507.423	245.429	443.972	359.528	326.217	524.579	567.182	420.072	529.469	466.222	347.226	495.308	433.368	499.864	561.256	594.189	371.727	281.683	273.835	365.123	320.125	426.977	397.522	367.719	568.429	348.897	197.442	406.617	556.419	357.632	317.069	483.046	441.786	456.245	153.655	239.886	292.914	360.554	414.3	369.495	405.884	450.089	484.518	445.68	418.828	453.429	469.308	500.654	234.211	398.511	374.907	579.592	315.074	385.577	591.423	711.621	409.701	216.023	511.154	394.863	561.236	586.378	406.646	324.158	278.882	654.799	378.298	407.77	517.365	517.995	328.155	417.809	211.124	326.913	161.949	404.563	280.874	389.864	321.39	344.651	463.782	442.425	520.081	264.894	376.794	1075.95	440.663	165.261	451.713	476.405	304.536	648.447	620.375	376.057	456.487	657.391	384.168	469.981	521.061	437.078	404.322	252.45	391.317	394.86	259.218	492.471	552.692	222.834	656.518	594.071	320.19	328.64	501.957	555.535	374.128	364.204	482.466	710.426	433.41	243.323	622.176
ENSG00000114030	1475.13	2350.18	2341.35	2040.86	607.881	1926.43	1463.98	1700.57	2169.22	1879.35	4260.78	1741.42	2234.1	1214.22	2148.49	4481.46	1114.7	2112.31	2798.57	730.554	1251.68	1570.14	1271.59	1592.67	688.426	1914.97	1571.77	1074.74	1310.09	1910.59	1030.64	1544.37	1640.66	971.642	2851.95	2780.24	908.055	1511.82	1894.78	1680.55	1044.05	3407.58	1322.6	1537.23	2562.28	1016.25	1013.44	1927.17	3054.56	1280.38	5636.21	1656.59	1438.86	2168.71	2290.3	2744.85	2454.39	2396.2	901.389	1936.66	1901.09	2370.64	1069.17	839.499	2342.23	630.357	765.791	1053.01	2000.57	714.553	1963.37	808.928	540.61	1613.21	1300.82	566.923	2388.42	1622.2	1413.74	622.747	1755.93	1763.11	2149.06	2072.37	1136.49	1954.18	1807.81	1758.08	1859.58	660.274	1649.27	1827.53	2840.96	1115.75	1899.82	1391.08	1079.05	1940.38	1310.32	1032.71	1665.35	2429.64	1419.08	1203.79	666.017	2835.19	1217.38	1138.57	2277.72	2073.56	3889.63	1283.99	1422.28	1736.89	1673.96	678.852	1052	1470.7	2001.29	1379.93	660.743	1265.74	2440.91	797.474	2651.62	2130.52	1513.26	1811.27	1366.49	1386.87	528.107	453.012	721.996	1580.3	2760.19	1835.01	780.869	1958.66	1639.72	628.056	1350.61	968.945	1268.58	1441.1	1415.96	1692.9	1441.48	1842.71	1165.23	1372.01	2294.28	1561.2	2373.86	3169.02	1450.4	865.072	444.746	503.093	1815.94	841.181	2900.59	728.436	1256.11	5887.66	539.801	3631.52	2128.23
ENSG00000114120	1484.884	1282.235	1294.4795	1299.223	620.99	1091.2355	976.8255	708.809	1101.826	837.858	1006.385	860.5885	999.0335	1164.281	1705.68	771.5415	797.911	1003.4855	1154.4865	1394.67	956.6905	1263.1815	1128.0855	1444.48	1098.5535	1399.035	1248.8605	1475.066	1080.0645	1023.428	1309.2745	1164.7455	1251.1485	1409.469	997.6465	894.6065	757.9325	1124.079	1152.126	924.685	879.0215	697.0725	782.1565	1139.0505	1130.947	952.983	586.638	1107.8825	1155.305	724.533	748.1835	961.529	1325.7305	1083.9855	1243.5095	1076.55	1066.236	1281.919	721.7705	1069.8125	1172.482	1002.17	1232.9575	879.172	1031.6375	1048.2215	916.0135	1423.7395	1286.659	968.615	1115.7105	1021.936	742.4285	1205.6245	1329.0745	545.103	995.964	830.533	1291.6155	711.3425	930.5325	976.4735	1017.8545	915.9155	1121.113	1274.5885	1019.489	1312.6385	786.159	1313.36	1327.2945	911.0215	918.31	1084.487	929.0355	1064.455	1188.383	800.121	1105.991	1062.919	1168.3665	797.0795	1085.5065	1029.1	1097.062	965.902	1389.228	1001.21	841.255	900.5935	1169.7905	1010.879	1218.162	1043.4535	1412.9515	1146.676	1227.072	1120.8285	1059.0245	1067.4315	877.2015	1250.646	1260.29	1201.47	1001.7965	1097.68	1150.375	951.8295	798.211	753.024	1250.062	1160.8425	1689.975	1003.3925	1149.8485	899.675	901.0905	933.4435	1360	578.723	1247.7015	903.0085	1132.9965	1275.0935	1306.687	1271.21	939.3175	992.977	1030.942	1109.559	1080.356	844.353	762.783	884.1035	1242.2395	927.0185	641.266	677.775	1227.9505	955.429	1226.6645	1084.207	1305.279	927.247	1141.585	718.1745	709.788
ENSG00000114354	449.335	506.227	782.635	333.57	261.092	901.274	397.388	510.94	413.074	275.259	839.94	606.707	1126.85	855.329	804.139	1078.82	280.979	450.319	383.866	470.845	227.663	259.723	394.35	319.273	458.623	539.129	456.528	414.906	739.827	1480.9	365.48	599.051	232.47	301.601	307.205	386.824	505.032	288.496	801.538	532.859	435.177	1246.26	175.15	449.615	789.209	314.76	1039.07	531.751	515.791	992.996	900.551	901.388	842.454	661.514	478.651	982.132	607.009	926.102	276.483	628.109	668.505	944.872	274.742	403.726	843.627	685.397	263.082	272.668	438.392	223.95	890.215	975.345	504.248	347.755	1280.08	636.668	643.586	1327.2	759.126	339.398	451.854	508.786	413.567	539.767	753.06	582.885	423.736	958.985	1013.53	312.186	309.535	799.081	550.434	492.605	271.153	270.501	232.814	1349.41	342.327	437.693	1434.44	662.452	415.434	691.115	229.328	661.76	261.476	436.405	1339.38	650.257	341.524	764.638	318.176	403.386	349.202	242.041	667.569	1102.97	421.233	873.207	293.999	202.384	452.44	242.073	739.093	808.551	729.672	995.402	620.763	196.584	355.513	650.097	1148.69	274.015	621.515	697.101	658.848	1098.62	595.876	516.552	757.781	237.166	310.377	1667.79	557.762	870.723	1415.42	547.43	743.96	383.112	817.913	288.768	463.483	524.629	332.922	296.931	403.217	1133.19	435.052	750.717	445.963	350.241	1340.69	924.269	723.036	376.625	684.768
ENSG00000114388	312.389	238.952	344.846	301.209	364.572	341.775	226.051	308.064	336.006	360.004	202.47	74.6049	170.532	414.509	173.601	192.21	179.235	213.449	343.009	334.385	335.761	324.503	295.496	338.807	277.889	413.087	325.789	283.179	335.468	260.668	365.926	461.864	393.406	424.76	303.199	366.418	293.108	355.912	445.249	286.131	307.604	280.726	428.544	275.098	276.749	383.96	191.021	283.123	213.169	318.318	179.799	232.521	280.666	302.378	281.393	303.772	334.031	242.154	224.534	300.96	301.294	279.473	361.863	388.745	337.925	401.046	380.378	381.306	365.278	340.854	296.136	205.525	301.574	384.671	291.103	248.84	324.832	235.664	238.622	180.363	214.51	440.82	384.898	288.024	447.567	290.965	331.158	236.857	212.658	416.74	418.531	225.935	253.972	257.049	249.695	204.157	305.007	199.001	290.675	319.764	301.933	61.0157	364.953	334.194	338.597	338.802	400.53	269.25	227.602	277.243	289.302	369.443	337.222	254.49	288.594	354.743	375.776	277.889	301.584	378.324	368.644	307.983	319.619	360.453	307.293	439.728	336.109	219.178	202.601	410.284	323.199	98.7577	327.223	285.443	329.954	240.049	191.921	292.535	246.038	222.952	393.231	284.916	390.025	263.922	429.461	423.234	215.076	366.352	329.46	347.28	380.884	288.039	127.633	276.045	232.824	279.467	344.141	210.66	239.624	272.912	249.486	434.527	250.801	267.994	373.941	300.792	130.037
ENSG00000114395	608.513	545.472	524.337	530.599	720.568	927.824	740.079	808.084	540.655	589.124	581.9	531.998	625.728	493.827	633.214	624.555	564.966	553.647	453.283	778.896	478.204	524.65	799.746	419.235	578.711	665.95	639.815	563.878	665.216	659.515	468.062	800.675	582.484	655.95	698.396	722.066	562.812	556.083	606.877	707.811	530.128	657.79	704.878	589.919	689.459	659.737	926.95	521.899	588.924	610.136	627.567	662.249	806.974	627.751	593.513	633.375	693.919	667.446	554.082	744.176	460.014	691.826	493.932	606.036	597.814	620.59	616.153	546.572	559.374	635.545	451.612	955.05	740.681	640.672	518.561	929.759	654.033	653.757	627.621	527.683	709.611	668.274	554.656	427.416	757.836	561.483	490.758	631	889.01	723.913	497.611	703.527	630.177	848.885	601.822	574.033	496.199	671.027	594.426	555.402	873.905	670.957	525.5	682.089	596.32	613.759	603.861	543.648	799.791	646.997	532.279	596.686	497.082	376.086	473.041	600.48	555.087	645.022	494.128	555.693	747.48	514.525	507.458	699.378	695.167	875.545	557.024	619.031	727.959	604.975	515.386	534.702	662.753	483.179	561.117	622.541	560.391	904.231	564.26	602.657	661.854	508.957	770.681	623.788	680.757	525.451	772.154	499.838	668.059	522.534	550.819	783.326	634.616	731.577	413.46	597.55	873.251	1039.45	657.24	676.07	768.018	552.959	782.914	543.94	495.963	733.809	742.49
ENSG00000114405	470.6475	299.7425	310.3035	330.8905	358.796	313.1035	389.643	293.608	338.2675	336.179	387.514	338.7555	361.4325	385.8175	443.362	329.477	314.435	288.297	339.574	387.3445	373.111	362.3725	290.993	398.2565	388.377	409.199	354.945	442.965	314.1695	392.277	396.2885	367.6345	414.8515	378.2035	441.7975	437.698	368.983	303.412	366.691	396.3425	317.0055	356.995	459.808	340.6635	371.053	423.563	337.439	373.565	317.297	290.0375	370.457	349.714	347.4945	369.2955	366.2215	336.667	338.134	289.8895	261.015	352.703	332.058	412.538	348.1335	415.948	325.127	381.1585	438.522	316.688	386.007	332.7335	388.7735	203.903	447.0475	324.6145	318.675	266.695	425.738	379.0215	270.8085	331.823	362.1455	441.8495	369.312	280.4665	372.2195	396.7115	313.4975	436.7345	338.8425	386.227	351.522	335.308	341.04	396.7625	341.158	300.503	384.141	295.8355	286.243	407.029	387.3325	332.208	319.221	356.905	353.4175	378.7065	311.292	392.3905	361.3115	306.402	359.9235	412.2965	288.4075	287.368	352.9655	246.173	379.742	341.8675	304.5625	323.907	332.425	341.5905	357.8375	502.7915	328.7255	418.7	359.3815	325.738	256.2055	232.7685	354.569	809.9245	463.5835	403.5045	337.0705	300.793	285.7765	369.7465	391.269	356.4985	387.3595	295.1455	386.6435	275.222	364.9635	336.223	310.6425	310.616	352.037	372.2295	310.154	285.048	336.032	345.913	299.892	352.6865	376.389	230.3365	311.3965	389.8945	365.2725	312.575	264.783	334.133	302.731	291.8935	358.8425
ENSG00000114631	38.3311	1034.46	1285.93	1473.28	445.253	992.426	802.439	536.969	977.605	1228.96	359.64	552.272	336.552	1167.46	105.965	745.12	692.383	764.736	1349.52	268.495	1062.57	1029.61	701.623	1163.97	965.824	626.133	1103.13	25.6599	660.426	362.257	1237.12	535.535	1237.15	1622.7	384.754	268.719	1354.85	966.879	471.602	931.841	1014.51	1131.85	1627.61	1452.39	428.189	832.321	362.707	1061.11	500.275	1103.4	713.656	581.397	765.561	1013.53	1234.9	1051.49	913.38	1220.4	1174.05	781.995	1078.34	701.726	1564.98	1432.7	1221.61	894.137	576.664	1646.9	1340.58	1494.57	778.128	896.965	466.354	1311.43	1262.74	1322.78	315.098	79.1332	406.32	767.844	472.8	1523.16	1153.62	1090.24	457.445	1132.74	889.812	193.132	741.851	716.034	1585.67	584.423	526.909	1156.09	1120.77	919.515	833.032	411.204	918.76	1016.34	745.169	645.302	1300.51	1288.41	588.911	357.669	631.673	1188.09	402.865	870.635	533.93	592.858	1165.91	1125.89	1419.96	553.53	1215.55	729.438	1048.18	1436.93	1563.32	855.841	550.898	999.345	1260.02	296.881	966.772	449.548	417.685	1753.76	891.962	164.171	57.5649	1045.96	951.975	374.97	1013.95	843.361	1156.51	507.894	380.211	1233.66	838.379	268.602	1183.87	612.692	361.515	983.427	437.266	1080.39	1587.49	796.038	229.664	616.636	823.052	952.042	419.758	194.385	1001.49	755.084	472.332	828.697	427.678	582.1	885.7	917.707	359.721
ENSG00000114742	264.742	322.358	531.908	280.425	230.001	345.566	245.818	333.889	349.713	392.339	310.166	358.318	390.091	489.436	404.298	261.999	246.307	368.517	328.856	355.572	397.351	432.566	321.537	352.571	386.702	543.74	321.944	262.852	288.547	374.256	468.592	382.223	364.965	444.674	290.83	343.573	294.169	332.274	426.12	312.188	325.193	276.062	200.268	381.995	350.786	386.946	261.071	464.361	237.163	251.471	255.528	299.874	241.993	377.977	267.325	388.451	398.634	324.788	474.486	322.386	481.04	359.506	418.933	555.804	359.734	292.621	284.673	522.182	507.364	370.285	256.599	73.0739	444.758	528.557	298.307	175.656	325.563	262.21	145.141	377.647	314.906	407.228	367.256	293.099	325.718	307.456	483.165	310.067	327.143	285.347	462.442	277.697	220.958	349.1	262.08	385.258	402.564	305.608	368.593	485.562	232.331	117.572	340.798	403.682	525.106	322.089	276.432	356.437	439.849	427.039	481.893	343.662	426.166	249.173	377.661	466.032	436.169	397.385	368.576	515.904	452.771	218.473	452.322	358.687	360.633	358.091	342.904	353.84	336.594	449.464	365.186	152.925	310.138	339.771	397.04	279.184	308.037	313.209	343.481	323.784	381.625	398.422	350.693	212.769	311.634	431.027	359.639	421.913	280.401	364.448	269.939	409.05	349.132	292.468	259.369	329.644	479.89	119.192	221.996	451.615	174.484	441.973	195.284	213.602	343.672	277.442	298.366
ENSG00000114744	232.02	376.363	287.875	323.28	475.395	440.394	348.476	263.641	362.812	299.605	741.713	519.711	328.777	205.282	159.243	539.67	675.314	331.481	328.612	299.77	318.81	360.411	454.317	330.121	381.747	251.361	445.741	358.863	322.007	414.88	197.803	267.398	229.915	206.792	315.656	236.402	311.44	479.77	219.951	398.25	356.14	399.031	272.81	397.343	357.647	434.64	522.992	339.11	379.318	425.252	429.245	501.493	297.826	355.32	289.224	380.871	355.266	562.868	257.48	232.369	363.421	327.064	424.334	322.793	315.061	428.014	480.762	259.852	292.137	281.013	206.48	2293.24	298.693	263.345	345.474	279.224	358.619	335.544	289.05	237.852	411.462	180.844	277.834	401.681	197.541	368.737	282.983	430.97	397.733	237.406	268.154	413.671	249.83	420.508	381.043	440.223	295.883	496.548	323.478	331.692	336.224	681.173	293.741	360.491	307.475	261.807	284.589	368.892	434.801	363.849	277.099	299.766	357.64	246.195	281.197	337.998	225.179	374.721	266.437	356.71	179.964	289.551	360.999	335.523	313.369	190.581	262.497	276.251	557.523	215.356	290.237	452.936	282.357	354.936	322.715	379.356	444.013	524.14	380.186	336.289	242.354	311.896	277.73	315.039	303.159	233.336	591.065	168.595	432.097	356.7	277.159	244.932	361.627	635.844	407.226	530.445	273.358	1514.89	473.356	398.985	452.203	371.073	366.047	859.083	430.551	412.436	753.728
ENSG00000114784	3549.99	3291.28	3928.25	3132.03	2193.01	2642.91	3408.02	2624.62	3721.71	4644.36	3559.11	1868.64	1754.72	3631.39	2683.31	2824.23	2226.97	3077.47	3790.68	2760.82	5501.66	3243.35	2255.97	3562.29	2714.16	2107.42	3670.42	4891.25	3305.36	2846.54	2736.7	1814.62	3390.54	4172.48	2710.73	2449.37	5750.61	3604.6	1403.67	4225.96	3386.22	2828.07	5051.95	3648.91	2557.65	2803.57	3583.33	4196.72	1938.95	4365.68	2236.26	3422.35	2296.77	3780.6	3235.11	4679.94	3465.44	2957.78	3475.73	2782.19	3182.61	2413.68	3318.83	4056.58	4233.07	3503.42	5538.21	3519.27	4029.55	4494.83	3321.56	3294.12	2112.7	4017.82	3243.34	3356.76	2005.33	2761.16	2580.89	3929.82	3640.09	5366.86	4366.68	3853.9	1525.55	3217.86	4986.9	5794.32	2576.3	2458.61	3864.6	2787.15	2114.62	2930.36	4163.64	3650.59	3410.47	3318.17	4189.76	3463.4	3817.96	2521.41	3781.48	3927.37	2175.99	1708.33	2015.31	4763.52	3547.97	4058.14	3507.16	2073.46	3174.43	4313.3	3630.48	2156	2406.15	4040.78	5058.2	3590.99	2683.03	3084.72	4190.84	3314.86	5309.95	2049.39	3170.02	3016.84	4291.68	4270.69	1972.04	4088.69	3860.84	4397.11	4101.27	2277.13	4071.54	2517.6	3790.27	2158.87	1429.22	5645.34	2497.09	4216.77	3200.67	1837.99	3063.71	2079.02	3240.6	4423.33	3823.24	4020.1	3283.29	2702.97	3140.5	4002.89	2178.78	2693.14	2924.87	4467.4	2562.76	2518.15	3495.62	4748.68	3172.09	2649	2251.71
ENSG00000114867	337.484	2074.05	2118.88	2322.28	4867.93	2094.44	1897.5	3046.11	1999.76	2683.15	1145.23	1908.65	3173.82	2882.06	1260.74	2227.9	1852.83	3036.17	1930.38	1821.22	2028.45	2398.4	2420.25	2170.53	2751.96	2714.29	1919.04	332.231	2682.78	2476.92	2815.61	2928.37	3109.48	3288.11	2669.44	3043.39	2394.44	1613.2	2129.57	1901.07	2077.27	2289.61	3355.68	2624.14	2075.7	2075.82	2420.59	1935.92	2314.73	2338.99	1881.65	1986.62	2741.01	2060.92	1706.6	2095.05	2000.67	2248.09	4295.5	2547.17	2712.98	1912.49	2443.23	3123.71	2033.8	2302.47	1148.9	3092.87	2345.52	3426.34	2227.6	900.537	4695.45	2884.96	2918.77	4902.53	2366.71	2129.31	2525.07	3827.48	2177.61	3556.68	2117.93	1951.16	2772.86	2007.85	1774.57	297.927	2672.21	3679.49	2899.94	1861.88	2375.81	2232.89	2025.12	1895.12	2098.06	3418.75	1987.69	2315.73	2199.46	2600.14	2102.37	2570.72	2890.35	2720.47	2401.73	2247.86	2703.66	1971.61	1977.42	2563.21	2164.26	2589.08	2498.19	2944.67	2695.97	1924.92	1923.04	2510.44	3378.57	2261.41	1779.74	3314.69	2754.86	2882.41	2285	3507.04	1621.76	3207.15	3051.23	191.884	514.702	1996.2	1696.42	3300.93	3233.25	1796.48	1897.48	5012.71	2363.94	2758.93	3375.75	1295.08	2565.52	2890.1	2217.45	2823.58	1837.23	2160.82	2120.32	2876.51	2985.16	1997.41	2344.78	2490.58	4926.73	707.042	1775.7	2812.96	2374.23	3298.6	1635.3	1659.93	2508.91	2133.2	3039.89
