GSM7573.tmn_LEVEL	GSM31427.tmn_LEVEL	GSM31323.tmn_LEVEL	GSM4473.tmn_LEVEL	GSM4476.tmn_LEVEL	GSM31494.tmn_LEVEL	GSM31468.tmn_LEVEL	GSM31370.tmn_LEVEL	GSM31474.tmn_LEVEL	GSM31361.tmn_LEVEL	GSM4458.tmn_LEVEL	GSM4469.tmn_LEVEL	GSM31421.tmn_LEVEL	GSM31514.tmn_LEVEL	GSM4446.tmn_LEVEL	GSM4443.tmn_LEVEL	GSM4432.tmn_LEVEL	GSM4480.tmn_LEVEL	GSM31379.tmn_LEVEL	GSM31465.tmn_LEVEL	GSM31503.tmn_LEVEL	GSM4454.tmn_LEVEL	GSM31553.tmn_LEVEL	GSM4445.tmn_LEVEL	GSM31565.tmn_LEVEL	GSM31426.tmn_LEVEL	GSM31377.tmn_LEVEL	GSM31336.tmn_LEVEL	GSM31347.tmn_LEVEL	GSM31444.tmn_LEVEL	GSM31606.tmn_LEVEL	GSM4429.tmn_LEVEL	GSM4451.tmn_LEVEL	GSM31607.tmn_LEVEL	GSM31252.tmn_LEVEL	GSM31402.tmn_LEVEL	GSM7588.tmn_LEVEL	GSM4461.tmn_LEVEL	GSM31516.tmn_LEVEL	GSM7594.tmn_LEVEL	GSM4486.tmn_LEVEL	GSM31372.tmn_LEVEL	GSM31523.tmn_LEVEL	GSM31404.tmn_LEVEL	GSM4438.tmn_LEVEL	GSM31531.tmn_LEVEL	GSM31501.tmn_LEVEL	GSM31591.tmn_LEVEL	GSM7579.tmn_LEVEL	GSM31438.tmn_LEVEL	GSM31592.tmn_LEVEL	GSM31387.tmn_LEVEL	GSM4474.tmn_LEVEL	GSM31570.tmn_LEVEL	GSM7585.tmn_LEVEL	GSM31393.tmn_LEVEL	GSM4466.tmn_LEVEL	GSM31579.tmn_LEVEL	GSM4465.tmn_LEVEL	GSM31615.tmn_LEVEL	GSM4453.tmn_LEVEL	GSM4439.tmn_LEVEL	GSM31517.tmn_LEVEL	GSM31374.tmn_LEVEL	GSM31355.tmn_LEVEL	GSM4448.tmn_LEVEL	GSM31193.tmn_LEVEL	GSM31596.tmn_LEVEL	GSM7567.tmn_LEVEL	GSM4463.tmn_LEVEL	GSM31612.tmn_LEVEL	GSM31259.tmn_LEVEL	GSM4430.tmn_LEVEL	GSM31530.tmn_LEVEL	GSM31463.tmn_LEVEL	GSM31543.tmn_LEVEL	GSM31544.tmn_LEVEL	GSM31275.tmn_LEVEL	GSM31301.tmn_LEVEL	GSM31408.tmn_LEVEL	GSM4479.tmn_LEVEL	GSM4449.tmn_LEVEL	GSM31227.tmn_LEVEL	GSM31195.tmn_LEVEL	GSM4456.tmn_LEVEL	GSM31436.tmn_LEVEL	GSM31327.tmn_LEVEL	GSM31255.tmn_LEVEL	GSM4457.tmn_LEVEL	GSM31571.tmn_LEVEL	GSM31417.tmn_LEVEL	GSM31282.tmn_LEVEL	GSM31346.tmn_LEVEL	GSM4444.tmn_LEVEL	GSM7591.tmn_LEVEL	GSM4455.tmn_LEVEL	GSM31313.tmn_LEVEL	GSM31326.tmn_LEVEL	GSM31398.tmn_LEVEL	GSM31605.tmn_LEVEL	GSM31307.tmn_LEVEL	GSM4478.tmn_LEVEL	GSM31325.tmn_LEVEL	GSM31369.tmn_LEVEL	GSM4459.tmn_LEVEL	GSM4452.tmn_LEVEL	GSM4460.tmn_LEVEL	GSM31588.tmn_LEVEL	GSM31228.tmn_LEVEL	GSM31348.tmn_LEVEL	GSM31505.tmn_LEVEL	GSM31386.tmn_LEVEL	GSM31375.tmn_LEVEL	GSM31271.tmn_LEVEL	GSM4428.tmn_LEVEL	GSM31552.tmn_LEVEL	GSM31312.tmn_LEVEL	GSM7597.tmn_LEVEL	GSM4434.tmn_LEVEL	GSM4475.tmn_LEVEL	GSM31583.tmn_LEVEL	GSM4468.tmn_LEVEL	GSM31352.tmn_LEVEL	GSM31362.tmn_LEVEL	GSM31460.tmn_LEVEL	GSM7600.tmn_LEVEL	GSM31535.tmn_LEVEL	GSM4450.tmn_LEVEL	GSM31495.tmn_LEVEL	GSM31540.tmn_LEVEL	GSM4441.tmn_LEVEL	GSM4464.tmn_LEVEL	GSM31549.tmn_LEVEL	GSM31322.tmn_LEVEL	GSM31279.tmn_LEVEL	GSM7570.tmn_LEVEL	GSM31461.tmn_LEVEL	GSM31477.tmn_LEVEL	GSM31667.tmn_LEVEL	GSM4427.tmn_LEVEL	GSM31476.tmn_LEVEL	GSM4483.tmn_LEVEL	GSM31490.tmn_LEVEL	GSM31486.tmn_LEVEL	GSM4436.tmn_LEVEL	GSM4471.tmn_LEVEL	GSM31560.tmn_LEVEL	GSM4481.tmn_LEVEL	GSM4442.tmn_LEVEL	GSM31435.tmn_LEVEL	GSM4437.tmn_LEVEL	GSM4447.tmn_LEVEL	GSM31331.tmn_LEVEL	GSM4440.tmn_LEVEL	GSM31508.tmn_LEVEL	GSM31573.tmn_LEVEL	GSM4426.tmn_LEVEL	GSM4462.tmn_LEVEL	GSM31576.tmn_LEVEL	GSM31608.tmn_LEVEL	GSM31419.tmn_LEVEL	GSM4435.tmn_LEVEL	GSM7582.tmn_LEVEL	GSM4482.tmn_LEVEL	GSM4484.tmn_LEVEL	GSM4472.tmn_LEVEL	GSM4485.tmn_LEVEL	GSM7576.tmn_LEVEL	GSM31555.tmn_LEVEL	GSM4470.tmn_LEVEL	GSM31261.tmn_LEVEL	GSM31467.tmn_LEVEL	GSM31804.tmn_LEVEL	GSM31484.tmn_LEVEL	GSM4431.tmn_LEVEL	GSM31529.tmn_LEVEL	GSM31262.tmn_LEVEL	GSM31581.tmn_LEVEL	GSM31367.tmn_LEVEL
ENSG00000108578	4377	2136.61	1871.93	1660.16	1828.68	1228.8	1634.89	1223.16	1413.58	1798.08	1736.74	2571.14	2888.95	2210.57	1786.5	1993.36	1854.53	1708.28	1683.58	2064.62	1611.71	2172.79	2295.04	2261.94	1997.73	2480.78	1723.71	2217.65	1484.5	1739.84	1982.43	2027.3	1555.45	1371.28	3015.16	2771.86	402.425	1762.64	1769.46	1544.32	1368.17	929.945	1551.9	2265.87	2308.4	2104.37	1773.75	1991.98	2470.59	1961.04	1936.14	1499.95	1502.47	1964.82	1975.47	2083.2	1412.49	1377.71	2199.28	1409.6	2089.62	2234.26	1624.85	1924.56	1764.27	1706.17	2310.59	1305.52	3181.65	2142.57	1553.83	1426.6	2174.33	2250.6	2763.22	1776.64	1493.92	1895.25	1958.14	2214.82	1947.16	1904.38	1547.81	2339.39	2393.92	2149.02	2060.93	3264.68	2032.31	2093.82	1588.91	1970.83	1397.73	2934.31	1494.31	2500.04	1908.38	1919.07	2450.56	1505.17	1901.75	1192.95	2190.04	1034.21	2748.31	2517.88	1523.73	1910.57	1776.65	1484.16	2052.44	1385.23	1703.22	1666.94	2022.04	1620.89	2084.58	2046.11	1729.25	1033.09	1765.32	1867.33	1791.04	2029.46	1749.71	244.469	2262.82	1961.82	1615.54	1560.73	1388.51	2090.5	1966.98	1780.04	1821.07	2257.93	1551.26	1263.05	2618.68	1667.6	1116.91	2334.45	1044.13	1885.19	1963.69	1322.41	2099.41	1532.35	1709.03	2156.62	1554.61	1675.61	1391.07	1501.78	1446.93	1697.94	2338.43	2156	1403.14	1132.68	2406.08	2361.81	2409.77	1612.3	1411.48	1714.92	2211.27	2245.51	893.758	1893.96	1796.1	1952.08	1383.68	1776.06	1702.31	1041.71	1612.67	1905.01	1494.6
ENSG00000108654	2260.49	2912.15	1822.27	3940.25	3342.92	2180.28	2861.74	1885.03	1596.49	1981.14	2569.54	3600.47	1519.26	1030.94	3401.25	3321.87	1808.59	2211.98	1799.72	2445.19	2068.27	4008.89	1605.62	2363.44	3382.47	2337.28	1532.56	261.892	1496.95	1983.18	1963.35	1894.14	2152.98	1023.61	3777.77	2314.61	572.911	3531.47	1684.69	3362.53	2645.75	1818.81	1870.12	2204.37	2898.61	2963.31	1795.41	2932.92	4525.93	2620.97	2710.1	1594.78	2680.38	2625.85	3306.69	1322.96	1982.92	3017.86	1413.04	2313.7	1714.8	1475.8	1175.34	1907.33	2387.72	3150.01	3600.79	2604.19	2382.47	2667.3	912.272	1726.85	2200.7	3340.25	1146.88	2463.19	2229.79	1717.16	2386.52	2484.43	2069.87	2789.95	3143.4	3648.56	2016.53	1454.15	2144.73	3108.28	2319.37	3213.32	2329.08	1699.56	2233.5	1196.66	3451.9	2431.11	2469.6	1900.38	3001.98	823.403	1897.79	2222.53	2575.93	1458.34	1537.16	2021.84	3393.72	3012.78	2736.71	1613	2774.71	1844.64	2237.73	2502.44	1770.9	1771.8	2114.32	2685.96	1841.11	2137.39	2658.33	1988.92	2647.15	2511.63	1165.55	3826.24	3327.22	1699.54	2114.19	2604.93	2422.91	2264.9	1251.81	1296.77	2128.66	2463.94	1545.47	1414	1722.67	2299.24	788	3890.06	1355.95	1655.28	2471.5	3083.39	1536.38	3175.61	2607.02	1634.03	2138.54	2838.92	2014.6	2194.37	1307.63	2684.47	1684.33	3107.61	2887.4	1162.5	2732.15	2405.89	4823.39	2982.19	1930.31	3929.37	2715.16	2706.21	1181.22	2514.09	1721.58	1775.64	3003.13	2419.67	2503.04	849.961	2736.21	2531.29	1175.12
ENSG00000108799	1459.8	1739.49	2116.58	1470.97	1356.03	1891.43	1630.83	2244.58	1317.89	1537.47	1530.67	1142.97	2331.72	1693.38	1079.54	1250.45	2004.12	1425.52	1985.66	1429.59	1863.18	1307.03	1316.75	2057.9	1263.78	2012.15	2076.43	1841.31	1904.25	1667.73	476.032	2125.61	1680.14	2727.45	2154.62	2088.24	1440.12	1586.96	1536.99	1673.5	1157.89	2135.31	1356.14	1792.09	1068.36	963.798	1602.97	1311.71	992.832	1398.51	1349.86	2093.8	1548.78	1242.38	1446.23	2131.64	1269.92	1093.17	2002.58	1837.43	2168.13	1496.03	1435.47	1834.79	1758.84	1557.18	932.252	1780.98	1318.05	1660.39	1607.98	1893.3	1994.12	1059.28	1537.89	1097.75	1353.32	2612.06	2191.2	1742.02	1367.51	1338.28	1703.86	1169.17	1567.3	1720.69	1642.72	2859.16	1606.32	1191.95	1774.68	1696.13	1698.69	2213.73	1411.03	1756.85	1666.03	1722.32	1899.54	2661.97	2018.32	1346.3	2085.65	2059.92	2178.22	1677.75	1585.02	1035.55	1371.23	2217.52	1890.28	1723.15	1951.21	1841.09	1782.41	1040.73	1962.45	1546.37	1657.5	1269.26	1189.34	1202.78	1766.69	1658.37	1472.03	1528.66	1179.12	1599.04	1949.34	1339.62	1779.96	1860.55	1717.05	1647.11	1910.11	1354	1885.01	2108	2225.73	1808.02	2524.83	1447.94	2305.61	1510.53	1935.04	1151.93	1402.16	1847.56	1218.92	2261.71	1516.61	1279.96	1349.17	1836.33	1278.83	1225.2	2004.85	1834.34	1402.45	2039.05	1858.94	2350.28	1441.01	1584.94	1698.74	1091.15	1809.93	1747.44	1185.78	1354.23	2049.53	1871.65	1815.77	1795.02	1727.11	2228.22	1809.08	1439.98	2433.75
ENSG00000108826	2537.26	1641.82	1642.1	1490.94	1386.3	1729.49	1920.35	1653.27	2038.08	1796.29	1699.77	1463.64	1954.47	2559.05	1436.07	1503.33	1549.54	1576.54	1782.87	2061.32	2121.31	1863.55	2747.02	2264.89	1338.54	1630.54	2010.05	2209.01	2258.48	1856.95	3163	1796.18	1804.71	2907.42	1333.36	2220.07	881.702	1423.86	2769.08	1411.53	1318.7	1874.21	1766.26	1787.41	1974.72	2068.88	1235.96	2417.72	1873.15	1846.48	2130.91	1883.27	1597.82	1413.56	1632.73	1708.34	1279.09	1668.05	2074.57	1893.86	1980.97	1739.35	2349.99	1912.94	2076.25	1644.34	1917.13	1803.02	1890.75	1523.79	1931.91	1664.92	2104.12	2723.54	2508.73	2112.88	1865.92	1672.24	1605.23	1964.03	1645.8	1411.39	1479.64	1081.65	2155.97	1834.91	2104.35	1538.78	1850.68	1809.01	1552.92	1903.41	1816.96	2741.36	1415.62	2032.63	1883.33	2417.3	1715.17	2553.22	1569.9	1625.32	1752.69	2063.88	2245.39	1972.89	1380.13	2257.94	1548.44	1932.82	1888.58	2095.84	1849.45	1748.08	1866.19	2024.61	1760.2	1678.39	1174.71	1428.14	1460.39	1550.54	1662.04	1843.6	2716.1	1808.32	2433.7	1872.05	1820.06	1911.93	1380.26	1908.93	2097.97	2187	2144.61	1640.65	1906.01	1933.48	1763.97	1608.41	2179.66	1177.07	2161.51	1860.33	1607.52	1511.26	3542.78	1378.55	1801.43	2247.07	1532.03	1350.77	1736.3	1439.28	1710.72	1805.37	2113.57	1769.99	1679	1765.22	1755.06	1673.24	1860.55	1585.52	1510.7	1561.83	1315.05	1340.29	2211.13	1070.58	1652.48	1322.24	1409.86	1665.81	1925.53	2748.53	1334.06	2747.44	2284.93
ENSG00000108828	657.94	1021.6	452.156	441.422	1239.47	786.366	718.43	708.125	632.184	555.41	526.043	1160.17	954.564	1049.89	834.936	983.022	763.345	757.135	319.558	612.383	367.976	908.82	2296.06	727.141	650.232	1272.87	287.52	897.55	963.449	741.962	3130.29	899.459	1059.32	939.771	12.3874	998.059	414.881	612.444	1251.45	1192.06	438.571	421.686	1068.53	548.03	562.607	892.267	349.272	2556.79	671.36	717.209	2297.77	676.168	446.5	556.535	513.236	394.31	523.67	1439.94	694.332	2054.15	915.296	548.225	1049.74	302.729	536.305	810.152	760.148	1933.46	493.205	865.295	1647.39	586.835	591.96	1440.36	308.997	2390.63	1766.94	486.178	649.141	834.936	878.191	875.954	547.47	539.844	784.694	737.937	544.554	11.9426	754.234	832.907	1240.04	560.385	767.153	850.184	1406.48	804.984	728.61	466.739	914.975	832.768	698.41	1799.23	536.273	501.722	457.257	491.251	714.741	2457.05	770.999	943.087	399.15	762.317	433.604	422.05	565.519	1896.23	535.589	1577.49	702.217	1503.65	1775.71	748.387	584.746	551.042	1215.11	591.469	1590.11	797.198	866.933	1840.57	868.669	640.352	1767.69	560.85	657.662	601.355	1238.26	799.628	620.135	727.948	816.449	604.726	593.624	494.446	596.269	595.577	1949.75	549.326	1083.32	757.029	786.706	530.489	942.653	634.489	686.502	1083.67	723.301	677.826	1395.83	1266.16	888.355	600.43	445.429	479.323	709.662	931.697	205.867	503.597	2295.58	636.761	1032.27	309.993	491.626	496.017	886.438	990.321	568.14	2446.88	850.73
ENSG00000108848	831.4495	2042.164	1714.502	1487.2885	1548.317	1242.3385	1294.973	1518.6635	1286.0665	1162.05	1586.273	1761.6465	1722.381	867.6275	1355.6555	1500.113	1855.087	1421.2165	1295.171	1442.1125	1023.896	2063.688	936.7915	1497.682	1097.716	2182.3505	1251.3895	2041.7665	1051.023	1064.6245	1473.856	1295.7755	1690.357	993.9075	3157.472	1871.214	60.769	1882.8105	1025.7085	1485.1945	1829.928	985.571	979.6265	1513.128	2246.0675	1398.7635	1447.2125	1474.291	1758.0825	1140.613	1415.4755	1454.226	1578.455	725.8065	1543.2805	1511.573	1302.767	1358.5065	1760.737	1515.264	1636.78	1815.264	712.787	1344.4945	1448.668	1102.1135	887.947	1568.732	1503.5525	2091.365	1216.841	1394.8545	1427.7075	1012.9535	1696.2575	1738.387	1542.584	2040.332	1663.1355	1125.3195	1336.753	1306.687	1915.366	878.954	1765.4405	1206.41	1408.1795	2893.711	1851.924	1456.219	1540.2355	1082.153	1582.692	1546.8025	1716.501	2022.69	1779.048	1503.275	2178.507	824.359	1840.457	1655.137	1893.6745	1086.093	1673.3955	1875.943	1730.38	1487.2515	1378.3915	1258.802	1370.9175	1512.1695	1379.223	1563.8765	1246.0005	985.9485	1999.0215	1441.8735	1994.69	1311.6535	1813.9195	1082.453	1127.6455	1736.4705	1108.6035	1991.369	1428.674	1369.315	1458.795	1638.0265	1729.0635	2061.56	1563.849	1107.7925	1304.7675	1086.795	857.5465	1586.2005	1981.7045	1291.791	1001.258	1533.0625	1027.836	1095.467	1368.4555	1000.0205	827.9075	1346.712	1378.2755	1112.0855	1292.8665	1346.209	1490.4655	1618.025	1247.2255	1242.642	1333.611	2160.7915	1298.9135	1070.8855	1994.936	2157.549	2058.4925	1336.0935	1237.1825	1267.4515	2178.0735	1200.8285	554.1945	1277.1095	1359.1045	1247.0145	1454.809	1512.975	1196.184	605.1105	1724.16	1372.394	1564.1485
ENSG00000108861	292.06	266.292	199.294	416.111	440.831	291.533	362.416	146.233	404.667	361.453	603.089	319.445	204.104	200.662	679.17	639.222	289.985	222.238	255.892	169.187	178.613	270.356	221.648	158.387	345.371	141.349	341.023	750.308	294.497	217.124	173.227	282.474	300.997	208.566	121.859	123.431	571.168	577.706	279.76	303.68	304.289	312.213	304.832	228.396	350.879	361.437	265.451	232.178	196.527	244.658	184.045	224.026	619.966	403.509	273.242	232.576	376.853	327.902	249.807	193.169	173.079	524.249	197.876	346.41	283.588	455.018	240.237	259.955	313.04	366.212	281.153	229.143	162.326	209.985	254.661	213.785	260.783	136.153	185.636	235.893	376.669	473.99	273.411	224.933	165.408	274.592	177.149	121.601	160.184	170.886	467.975	194.998	180.796	197.805	314.337	422.272	164.487	272.066	340.996	190.477	147.366	378.701	182.844	130.591	286.738	210.02	474.738	529.754	393.942	144.507	217.594	235.42	212.525	314.58	178.845	221.275	133.121	356.329	300.44	512.534	329.195	342.011	359.545	419.643	176.63	477.417	176.716	212.516	249.569	224.08	779.611	137.84	208.831	336.973	161.28	310.184	183.325	175.683	133.966	277.612	171.307	364.882	183.45	226.085	638.807	403.154	181.868	214.685	525.834	204.87	619.332	535.715	407.487	294.628	199.038	363.657	202.799	377.505	393.023	173.278	236.018	141.841	188.779	450.877	356.046	399.196	211.484	263.611	302.837	372.293	170.663	243.956	412.533	258.14	408.012	186.786	418.99	232.921	61.1031
ENSG00000108946	4947.853	3661.629	5295.128	6278.0425	4873.758	5626.1445	5296.055	6566.9885	5141.026	4694.3765	6056.816	5243.4685	4693.452	5384.8915	5527.447	7374.4165	5596.9365	5960.836	5971.0655	6051.315	6210.4365	6518.681	3567.1995	6759.378	6737.6195	3158.7555	5957.353	3317.7145	5474.988	6776.826	8931.8515	5890.753	5390.225	5008.921	6279.3225	4359.1245	1131.792	4804.6005	4688.978	4040.911	6714.8505	5905.534	5270.3565	7438.594	4763.965	6493.662	6199.0985	5057.6065	6809.92	6277.6685	5368.929	5080.282	5940.5365	6521.965	6781.7265	5761.14	5140.633	3837.727	5877.1765	4316.1325	6846.218	5904.8895	5457.026	6777.494	5988.975	5658.035	7058.5385	4471.3725	5122.8535	4322.269	3813.063	6050.669	7224.088	6266.064	7866.8815	5766.6555	7007.8465	4543.487	6048.826	7208.0125	4607.0985	5934.918	6463.2045	6966.4185	6170.5115	6803.244	6861.0005	5830.4075	5759.607	7333.0955	6073.291	6993.1825	5263.846	7347.991	3045.9985	4745.465	4193.388	9167.351	3453.1195	6253.591	6642.1675	5142.4405	6676.1735	5668.885	6070.76	7197.319	6090.8845	4819.767	5263.2915	4985.4075	6910.9685	5589.589	6267.1345	6842.3245	5732.255	3781.214	5330.2155	3575.1045	5435.774	4312.4505	4414.9955	5936.031	5950.2065	6158.4535	6245.2765	5016.3545	6208.681	6996.2205	5881.7165	6151.2265	5738.2535	6190.218	6734.5415	8373.4335	7204.5485	4734.2975	6009.1575	7078.8285	4182.509	6750.974	5676.748	7319.6515	6180.2015	5969.278	5571.5015	4982.6645	3796.5165	6217.8875	6290.228	7288.4505	5830.438	5670.407	6203.477	5743.2535	7813.3775	4650.8285	6729.763	4356.4935	3703.2105	4940.8315	5447.144	5384.649	6724.324	5959.6115	4755.06	4915.6695	7942.8985	4785.068	3756.882	6098.2155	5827.923	5870.719	5896.6675	6731.5965	5922.7635	4314.722	6205.726	4956.5245	6281.5005
ENSG00000109062	2171.78	1517.48	2186.39	1671.97	1793.68	1724.26	1551.37	2350.82	1990.35	1632.79	1475.21	1427.67	2106.82	2184.64	1823.95	1466.19	2354.62	2234.28	2225.83	1806.95	2312.15	1443.9	2126.69	1328.33	2000.86	1995.88	2416.22	1692.61	1738.3	2274.04	1756.65	2618.95	1784.13	3943.6	1927.95	2250.19	1091.22	1625.91	2149.11	3206.91	1326.94	3026.78	1901.96	2289.36	2171.12	1652.27	1671.12	2611.54	1542.98	2393.34	2743.9	1875.48	1266.9	1771.79	2356.34	1823.05	1447.92	2053.93	1729.89	3043.37	1675.81	2424.07	1732.38	1634.47	1582.72	2650.01	1625.64	2805.62	1625.33	1357.83	2811.15	2154.51	3059.15	1891.37	2062.36	2131.09	2083.83	2178.9	1644.23	2091.76	2314.66	2355.18	1506.73	1585.35	1282.12	2654.89	1696.5	2464.51	1271.99	2254.98	2044.61	2465.54	2041.15	1808.49	2791.98	2065.4	2086.44	2579.38	1715.77	4271.26	1772.38	1741.75	2357.89	2756.52	1806.87	1617.54	1920.77	2231.82	2560.13	2163.27	1839.42	1702.96	1950.31	1600.4	2565.08	2089.34	1634.34	2490	1606.39	1792.18	1588.65	1533.34	2645.35	1810.36	2902.71	1981.59	2320.83	2253.9	2092.84	2054.32	1991.28	1627.62	3023.11	2448.05	2027.02	1435.86	2021.9	2525.59	1725.66	1888.07	3328.65	1195.32	3821.67	2431.43	2235.79	2202.18	3171.64	1563.78	1559.54	2819.21	2198.79	2127.29	1766.51	2243.95	2057.7	2114.1	2136.51	1741.59	3039.57	3611.77	1756.65	2162.6	1742.49	1441.09	1651.49	2467.7	1878.58	1844.18	3374.35	1272.38	2662.46	1466.24	1807.69	1740.47	2737.33	3942.6	1494.63	2890.92	2271.02
ENSG00000109079	1138.56	486.066	762.335	771.144	524.918	607.2	901.004	845.047	793.075	742.36	785.096	879.12	749.529	832.456	818.994	717.992	733.8	670.111	778.575	933.385	742.694	765.3	1063.92	857.473	902.292	672.396	629.771	679.515	668.993	988.221	850.025	784.732	488.476	971.1	942.148	619.828	474.718	664.314	819.745	800.657	903.224	1022.33	746.631	874.818	629.462	973.337	792.674	848.938	695.808	824.885	811.428	535.881	740.866	827.388	799.769	716.941	1044.94	914.467	762.864	834.194	960.035	617.812	864.448	775.957	976.267	769.526	1087.51	819.923	651.455	737.956	889.879	843.632	795.65	1002.09	649.366	941.275	943.291	713.959	1029.7	849.504	668.268	619.422	701.318	947.511	815.948	691.91	602.531	1082.9	878.723	725.715	741	792.974	668.053	930.862	728.464	650.936	710.616	602.242	593.842	1221.97	764.044	880.588	661.738	1010.74	701.113	802.236	649.879	709.882	605.471	707.298	699.601	639.44	608.039	793.566	693.837	855.151	767.995	976.829	823.181	835.767	820.895	1054.27	835.643	760.35	689.432	1027.65	1097.94	791.472	612.878	745.827	536.188	943.781	947.545	880.894	643.179	856.349	763.527	921.921	525.096	756.406	983.332	829.263	1082.2	719.644	665.082	640.111	1151.92	911.006	869.475	719.053	646.338	518.082	641.297	618.321	683.386	912.046	735.675	506.68	794.191	1054.07	657.298	764.99	751.246	734.796	785.918	592.528	999.33	780.217	1102.62	1103.56	683.939	763.932	704.099	747.261	809.633	660.876	792.424	756.106	794.012
ENSG00000109083	1090.92	1181.04	1128.48	962.568	849.95	722.888	1107.77	904.099	1055.44	812.244	969.802	1223.25	1378.02	1182.84	1014.33	806.986	1064.52	934.091	1026.03	1129.81	1165.16	945.852	1018.39	1154.34	999.085	1182.68	1058.78	1210.31	911.927	1075.27	1312.34	1082.92	1081.81	907.168	1609.73	1263.17	535.448	917.035	1141.82	803.694	1272.21	876.13	902.123	1246.41	1185.89	1136.47	1016.93	1206.51	1255.44	1026.46	1107.27	950.419	1075.61	903.965	1157.81	1058.94	1177.31	816.699	1105.54	997.746	1304.63	1086.69	1171.41	1017.31	1075.64	1296.51	1146.41	881.245	1304.78	999.972	877.699	1097.43	1307.23	1106.73	1040.64	1154.46	1106.23	1165.13	1176.44	1095.11	960.105	962.182	973.799	1216.97	989.497	861.89	1090.89	1157.55	978.712	1313.26	1033.76	1049.32	953.308	1544.97	906.583	1000.78	1191.07	1052.02	1225.7	811.039	1106.84	744.557	1197.72	860.711	1190.61	1323.7	956.382	974.085	935.405	977.185	1055.38	1046.59	1038.19	1117.86	1265.69	949.033	1189.26	1073.68	1194.05	618.529	827.141	1145.81	865.523	1099.84	793.449	1016.84	1332.02	1173.7	961.933	1176.51	909.876	1116.06	1255.7	1106.33	1236.25	933.579	1028.13	977.523	1293.87	1170.37	761.664	1026.28	886.197	1002.79	1045.77	633.245	846.268	826.112	1066.72	1234.05	948.059	1067.43	987.193	1014.08	1017.89	905.389	1287.58	1112.51	779.595	1051.48	1170.99	1283.56	1442.32	804.474	816.974	741.209	1593.98	927.342	921.094	1282.62	1088.66	1233.78	952.504	1018.19	1189.54	647.359	722.161	1232.84	1000.76
ENSG00000109180	4908.31	4541.7	9060.85	6756.47	3902.11	6858.24	6356.11	10145.9	5774.98	7061.56	6427.9	3474.51	6514.44	8965.65	5139.76	3886.73	6649.3	5167.07	8981.55	6302	8738.34	4013.16	5558.86	3198.01	5209.89	4347.94	9961.89	5562.24	9156.08	5694.9	1793.54	6934.24	5081.85	9711.96	5716.77	5715.83	973.454	4583.49	6639.22	4330.83	5631.9	5909.48	8033.94	6725.42	6529.84	6183.28	3660.9	4673.62	5519.39	5771.29	4583.8	6993.59	6098.59	5017.84	6342.26	6301.19	3814.04	5037.89	6878.54	5585.22	5612.47	8194.13	7105.89	10303.2	7928.13	6857.74	4016.25	5513.52	5133.51	5588.93	6503.29	7786.83	7533.61	5336.13	6481.19	4449.85	4964.81	6671.02	7552.81	6089.7	4865.07	5366.15	6372.53	3733.57	5546.57	5678.47	6227.2	5258.74	6851.79	6719.23	5449.86	6566.08	7610.38	6136.48	3854.92	4956.39	5504.69	9362.24	4626.74	8649.33	8014.75	3268.59	7793.09	11040.7	7226.01	4623.76	7033.51	4296.17	6415.98	7893.26	8418.36	7147.27	8313.47	8233.59	7065.2	4452.9	6848.67	4693.56	5558.04	4081.38	4658.78	3868.27	7638.44	8310.44	7314.95	4731.65	5006.03	5899.89	6873.2	5042.88	6772.94	6011.05	5387.54	8000.55	7258.45	4948.99	8223.24	9507	6084.87	6821.15	10964.4	4786.38	6594.52	7520.56	6405.34	4575.45	6333.69	5482.53	3530.44	7457.75	6106.25	5584.19	6450.03	5534.7	8040.62	4633.94	7266.16	6420.47	5615.48	6479.3	5487.31	6946.6	6224.66	5497.59	5254.52	2252.68	5936.73	4366.83	6168.43	4433.25	7604.43	4525.31	6696.25	7712.5	7354.7	9449.42	5994.43	5402.25	10203.8
