p	score
ENSG00000001629	3.67998360923712e-22	-13.2785735310129
ENSG00000001630	1.09014742380239e-28	-19.2048061708115
ENSG00000002330	2.05300984586616e-21	-12.6323275802411
ENSG00000004059	1.79324937129798e-18	-10.1626610326115
ENSG00000004478	5.31643426632286e-25	-15.8003027076136
ENSG00000004776	7.06149139524208e-27	-17.5159542424986
ENSG00000004779	2.66411647560258e-26	-16.9849299218671
ENSG00000005022	1.70373359148774e-21	-12.7020787715818
ENSG00000005810	3.05773760768833e-27	-17.8523724509409
ENSG00000006125	2.82322291324537e-19	-10.824010074467
ENSG00000006128	1.13634196953845e-21	-12.853866654828
ENSG00000006210	6.73665627662764e-23	-13.9239581383927
ENSG00000006451	6.35674993530453e-18	-9.71591432053928
ENSG00000006831	1.8066721039962e-18	-10.1600140236445
ENSG00000007080	5.41492291061506e-24	-14.8944869419977
ENSG00000007168	1.08530754700008e-23	-14.6253900999808
ENSG00000008018	5.73367302028953e-22	-13.1111604847742
ENSG00000008056	1.18547325613952e-25	-16.3919346910184
ENSG00000008394	3.39581473855607e-16	-8.34517629821726
ENSG00000008441	1.04281922766938e-23	-14.6408173748404
ENSG00000008735	7.32125656977586e-29	-19.3675785325459
ENSG00000008952	9.45158265297989e-25	-15.5746830889828
ENSG00000009307	2.82399538981511e-20	-11.6613799576296
ENSG00000010278	9.19228647905696e-20	-11.2302699021858
ENSG00000010810	6.07183657843906e-18	-9.73201568202074
ENSG00000011465	9.91152940596765e-17	-8.76381751481923
ENSG00000011485	2.02447282285754e-23	-14.3850123246666
ENSG00000012061	2.52936560515681e-17	-9.23413128060182
ENSG00000012660	2.82868394593835e-26	-16.9610374665649
ENSG00000013275	8.71264006266817e-20	-11.2497615174622
ENSG00000014641	5.94921808470894e-31	-21.355358250379
ENSG00000015475	1.45556479303976e-14	-7.10139220072259
ENSG00000015592	3.48903680408864e-26	-16.8774573322432
ENSG00000018625	4.50387430966265e-29	-19.5665749725573
ENSG00000019582	8.40734043624764e-23	-13.8393630432526
ENSG00000020129	6.79218486584073e-29	-19.3982760910153
ENSG00000021574	1.35219105549586e-23	-14.5405197355358
ENSG00000023516	5.35122807513758e-21	-12.275400400708
ENSG00000025293	6.27974970476229e-19	-10.5367804095015
ENSG00000030582	8.68613503915305e-07	-2.07814139140243
ENSG00000033627	6.3753428637358e-22	-13.0711834301607
ENSG00000034053	1.71869931866652e-26	-17.1598520185304
ENSG00000034510	3.04060897511999e-16	-8.38252244582596
ENSG00000034713	5.07993179161998e-26	-16.7280194726116
ENSG00000035862	1.66131028235992e-13	-6.32480634446377
ENSG00000035928	8.8897762944099e-22	-12.9460737072122
ENSG00000036054	5.68610299140343e-20	-11.4052644611372
ENSG00000041357	4.3211044389682e-21	-12.3548559169058
ENSG00000042493	0.000965735337214473	-0.70540336709358
ENSG00000042753	1.84573582691863e-15	-7.7783914312888
ENSG00000044574	4.93650564652189e-15	-7.45385547688944
ENSG00000048140	1.15783871651501e-27	-18.2442999650645
ENSG00000049245	1.61650587242345e-21	-12.7217519360442
ENSG00000049449	3.10593595654127e-17	-9.16302139305415
ENSG00000050748	6.73703023402231e-20	-11.3434054983578
ENSG00000052802	1.24806241646352e-27	-18.2139560897543
ENSG00000053371	1.36234540870899e-24	-15.4316778686516
ENSG00000053438	8.45877809885772e-25	-15.6181463344501
ENSG00000053501	3.13758928137285e-22	-13.3388884679832
ENSG00000054116	2.97530460402527e-21	-12.49381034545
ENSG00000054356	3.31492658286861e-21	-12.4535245803437
ENSG00000055044	2.69934197440082e-13	-6.17292722041348
ENSG00000055211	3.04814674661211e-16	-8.38168505723273
ENSG00000055332	2.14032272768389e-16	-8.50148415595747
ENSG00000057608	2.04650936777387e-15	-7.74415839175483
ENSG00000059758	3.56680045492695e-21	-12.4262468718403
ENSG00000059804	2.06617714801952e-20	-11.7761523292107
ENSG00000060762	1.82627210634043e-24	-15.3172502717787
ENSG00000061918	5.92150077026305e-28	-18.5159013818505
ENSG00000062716	2.52340062517752e-24	-15.1912190906384
ENSG00000063854	2.95466209649546e-26	-16.9436731696465
ENSG00000064961	1.3140996226989e-16	-8.6674736711119
ENSG00000065135	8.55631700428631e-13	-5.81604713226217
ENSG00000065154	6.3512911117254e-21	-12.2118178322762
