hub	rank	severity	accuracy	auc
ENSG00000146112	1	100	0.571428571428571	0.425
ENSG00000146112	1	200	0.571428571428571	0.822222222222222
ENSG00000158710	2	100	0.714285714285714	0.725
ENSG00000158710	2	200	0.714285714285714	0.777777777777778
ENSG00000160691	3	100	0.928571428571429	0.9
ENSG00000160691	3	200	0.928571428571429	0.911111111111111
ENSG00000213719	4	100	0.714285714285714	0.725
ENSG00000213719	4	200	0.714285714285714	0.955555555555555
ENSG00000102265	5	100	0.785714285714286	0.8
ENSG00000102265	5	200	0.785714285714286	0.933333333333333
ENSG00000142089	6	100	0.642857142857143	0.7
ENSG00000142089	6	200	0.642857142857143	0.933333333333333
ENSG00000112096	7	100	0.928571428571429	0.975
ENSG00000112096	7	200	0.928571428571429	0.977777777777778
ENSG00000148175	8	100	0.857142857142857	0.825
ENSG00000148175	8	200	0.857142857142857	0.933333333333333
ENSG00000172216	9	100	0.785714285714286	0.65
ENSG00000172216	9	200	0.785714285714286	0.755555555555556
ENSG00000105835	10	100	0.428571428571429	0.525
ENSG00000105835	10	200	0.428571428571429	0.777777777777778
ENSG00000173039	11	100	0.571428571428571	0.25
ENSG00000173039	11	200	0.571428571428571	0.888888888888889
ENSG00000065911	12	100	0.285714285714286	0.2
ENSG00000065911	12	200	0.285714285714286	0.577777777777778
ENSG00000130309	13	100	0.928571428571429	0.9
ENSG00000130309	13	200	0.928571428571429	0.911111111111111
ENSG00000143570	14	100	0.785714285714286	0.9
ENSG00000143570	14	200	0.785714285714286	0.911111111111111
ENSG00000188313	15	100	0.857142857142857	0.9
ENSG00000188313	15	200	0.857142857142857	0.911111111111111
ENSG00000113916	16	100	0.357142857142857	0.65
ENSG00000113916	16	200	0.357142857142857	0.688888888888889
ENSG00000159128	17	100	1	1
ENSG00000159128	17	200	1	1
ENSG00000135404	18	100	0.857142857142857	0.95
ENSG00000135404	18	200	0.857142857142857	0.977777777777778
ENSG00000077238	19	100	0.5	0.475
ENSG00000077238	19	200	0.5	0.866666666666667
ENSG00000187498	20	100	0.714285714285714	0.875
ENSG00000187498	20	200	0.714285714285714	0.977777777777778
ENSG00000100504	21	100	0.857142857142857	0.9
ENSG00000100504	21	200	0.857142857142857	0.888888888888889
ENSG00000173221	22	100	0.214285714285714	0.625
ENSG00000173221	22	200	0.214285714285714	0.355555555555556
ENSG00000174021	23	100	0.857142857142857	0.875
ENSG00000174021	23	200	0.857142857142857	0.955555555555555
ENSG00000130202	24	100	0.428571428571429	0.75
ENSG00000130202	24	200	0.428571428571429	0.333333333333333
ENSG00000072110	25	100	0.5	0.425
ENSG00000072110	25	200	0.5	0.755555555555556
ENSG00000163638	26	100	0.5	0.35
ENSG00000163638	26	200	0.5	0.733333333333333
ENSG00000134871	27	100	0.642857142857143	0.45
ENSG00000134871	27	200	0.642857142857143	0.911111111111111
ENSG00000163882	28	100	0.428571428571429	0.675
ENSG00000163882	28	200	0.428571428571429	0.488888888888889
ENSG00000176014	29	100	0.785714285714286	0.8
ENSG00000176014	29	200	0.785714285714286	0.933333333333333
ENSG00000124762	30	100	0.5	0.25
ENSG00000124762	30	200	0.5	0.711111111111111
ENSG00000102007	31	100	0.714285714285714	0.725
ENSG00000102007	31	200	0.714285714285714	0.911111111111111
ENSG00000077150	32	100	0.5	0.5
ENSG00000077150	32	200	0.5	0.8
ENSG00000147872	33	100	0.785714285714286	0.825
ENSG00000147872	33	200	0.785714285714286	0.844444444444444
ENSG00000157557	34	100	0.357142857142857	0.175
ENSG00000157557	34	200	0.357142857142857	0.244444444444444
ENSG00000116717	35	100	0.714285714285714	0.5
ENSG00000116717	35	200	0.714285714285714	0.822222222222222
ENSG00000153879	36	100	0.714285714285714	0.825
ENSG00000153879	36	200	0.714285714285714	0.822222222222222
ENSG00000185022	37	100	0.714285714285714	0.775
ENSG00000185022	37	200	0.714285714285714	0.822222222222222
ENSG00000167202	38	100	0.928571428571429	1
ENSG00000167202	38	200	0.928571428571429	1
ENSG00000070404	39	100	0.785714285714286	0.525
ENSG00000070404	39	200	0.785714285714286	0.888888888888889
ENSG00000110719	40	100	0.642857142857143	0.55
ENSG00000110719	40	200	0.642857142857143	0.911111111111111
ENSG00000135046	41	100	1	1
ENSG00000135046	41	200	1	1
ENSG00000198959	42	100	0.642857142857143	0.475
ENSG00000198959	42	200	0.642857142857143	0.866666666666667
