Ortholog	LFQ.intensity.p01	LFQ.intensity.p02	LFQ.intensity.p03	LFQ.intensity.p04	LFQ.intensity.p05	LFQ.intensity.p06	LFQ.intensity.p07	LFQ.intensity.p08	LFQ.intensity.p09	LFQ.intensity.p10	LFQ.intensity.p11	LFQ.intensity.p12	LFQ.intensity.p13	LFQ.intensity.p14	LFQ.intensity.p15
ENSG00000160695	1028500	0	742760	0	0	1106400	720460	565450	554150	0	0	531200	0	0	0
ENSG00000160746	1276400	1567100	908820	1465600	1063300	1374700	1655300	1304100	0	965260	706790	873370	808960	0	0
ENSG00000160789	30476000	29386000	31951000	27033000	25962000	21725000	18986000	19601000	22767000	16655000	11424000	12293000	10780000	13384000	12528000
ENSG00000160803	1229300	0	0	0	0	1029900	1536100	901250	0	1862900	1191700	1325600	2019500	0	1585800
ENSG00000161011	0	0	0	0	0	438730	0	0	0	0	0	0	0	0	0
ENSG00000161016	16379000	17755000	16877000	17706000	17098000	14164000	13019000	14555000	10683000	16642000	10450000	12327000	10286000	12962000	9961300
ENSG00000161203	5789900	6627700	6556800	5400800	6015600	7501700	6358400	6235700	7803100	6174400	7031400	6777000	7467500	6440400	6769400
ENSG00000161204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81770
ENSG00000161265	0	0	0	1030500	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479370
ENSG00000161544	0	0	0	816030	0	0	1142700	0	1128600	0	0	0	1239500	1259300	1411100
ENSG00000161547	0	1415200	6107800	6695300	2029900	4715000	1742100	2154400	1139500	5213600	2173000	1428900	0	0	1078800
ENSG00000161618	780880	1058100	1362100	1200100	1473000	0	0	0	926760	0	0	0	0	0	0
ENSG00000161849	0	0	0	0	1429000	0	0	0	0	0	0	0	0	327880	335690
ENSG00000161850	0	0	0	0	0	0	0	0	0	0	0	6225100	0	0	5107500
ENSG00000161960	12428000	10987000	11265000	10522000	10112000	9257500	10079000	9791100	11117000	9788300	5683600	7825800	7169900	6275100	7715900
ENSG00000162065	0	0	0	0	0	0	0	0	250910	0	0	0	0	0	0
ENSG00000162066	2878800	2157700	2296400	1558400	2380400	1146100	1617600	913410	1327600	1328100	0	0	0	0	0
ENSG00000162174	2438500	4025700	2960200	4649500	3907300	5135300	6747900	5969800	5943500	5618200	4951100	6676700	7828900	4511100	6286700
ENSG00000162191	1000900	0	0	0	617720	843290	701980	1906600	698090	0	0	0	705330	0	0
ENSG00000162222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284200
ENSG00000162267	37682000	26708000	21275000	33625000	13906000	15529000	25403000	17116000	19619000	13622000	4256200	5442900	2761500	1944700	4157200
ENSG00000162384	0	0	0	0	0	0	0	2680900	3342800	0	0	3102800	2413600	3855800	3461700
ENSG00000162385	2705200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162390	0	0	0	0	0	0	0	0	0	0	0	0	196970	0	333330
ENSG00000162407	0	0	0	0	0	844580	795330	0	0	775780	721530	892180	0	767930	963210
ENSG00000162433	406530	620280	371910	767140	0	1017100	1188200	757560	941620	0	1635800	876730	2621800	980760	1127600
ENSG00000162441	1473600	2270500	2065000	1694500	1287800	1384800	3343600	2181500	0	2315500	1390200	3299000	2710000	3453700	2223400
ENSG00000162482	4861100	6222900	5288800	5457700	6006600	6701000	6260200	6072200	6838800	5920600	6605400	6521400	6423100	6013300	7101400
ENSG00000162517	0	960240	839830	0	717050	0	861470	524110	832100	832490	937080	0	0	0	843020
ENSG00000162521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181300
ENSG00000162616	0	0	0	0	0	0	0	0	0	0	0	0	1598100	0	0
ENSG00000162688	3670900	2362200	4841300	6283200	6700600	6873500	7307900	6056300	6668300	6814400	8226700	8561900	6531800	5523100	7257600
ENSG00000162692	0	0	0	0	0	0	0	0	142340	0	0	0	0	0	0
ENSG00000162704	5859600	0	4832200	4648300	0	5634900	5138500	5586900	4833500	0	0	0	0	0	0
ENSG00000162706	632060	977300	0	0	788370	981830	803390	856720	1250700	934030	1414600	1963900	906590	939110	0
ENSG00000162734	19578000	26432000	16212000	14446000	30494000	27130000	31389000	34928000	19104000	37612000	33928000	30746000	43691000	93182000	27517000
ENSG00000162735	0	308800	0	0	0	0	0	0	0	0	0	0	0	835140	766370
ENSG00000162736	1337200	1280800	1316700	908340	881750	1009700	627620	936250	710820	811670	0	0	0	494370	557190
ENSG00000162813	760180	1074500	1265300	2063900	1096000	2487900	2650200	2889100	2904200	1775100	2136900	2591800	2235200	2991100	1888200
