module	p	direction	sig
2	4.2939730003437e-33	down	TRUE
3	1.63199876949514e-19	up	TRUE
7	1.5708757840166e-15	up	TRUE
8	3.88500285983304e-11	up	TRUE
1	1.34754629448715e-05	down	TRUE
6	0.010097459794299	up	TRUE
14	0.0104389740661857	up	TRUE
12	0.0132834215575674	down	TRUE
11	0.089329520137305	up	FALSE
9	0.229402394765638	down	FALSE
5	0.489351175387107	down	FALSE
15	3.5394465251226	down	FALSE
10	4.39436730190744	down	FALSE
13	5.45519298324471	up	FALSE
4	11.750517698609	down	FALSE
4	20.251111318891	up	FALSE
13	26.5464100968959	down	FALSE
10	27.6067999828893	up	FALSE
15	28.4626370510837	up	FALSE
5	31.5107892698018	up	FALSE
9	31.7706932511135	up	FALSE
11	31.9107128848898	down	FALSE
12	31.9867231196209	up	FALSE
14	31.9895692163946	down	FALSE
6	31.9899069793998	down	FALSE
1	31.9999865286089	up	FALSE
8	31.9999999999612	down	FALSE
3	32	down	FALSE
2	32	up	FALSE
7	32	down	FALSE
