gene.symbol,CTR1
0610005C13Rik,0.1
0610007C21Rik,40.376563
0610007L01Rik,15.581929
0610007P08Rik,3.952455
0610007P14Rik,29.165349
0610007P22Rik,9.34286
0610008F07Rik,0.1
0610009B14Rik,0.551261
0610009B22Rik,16.044424
0610009D07Rik,20.519264
0610009L18Rik,4.041362
0610009O20Rik,12.222702
0610010B08Rik,0.1
0610010F05Rik,9.750642
0610010K14Rik,17.325565
0610010O12Rik,43.039749
0610011F06Rik,14.105902
0610011L14Rik,9.995065
0610012G03Rik,13.377851
0610012H03Rik,0.120896
0610030E20Rik,3.826565
0610031J06Rik,23.668265
0610037L13Rik,14.234866
0610037P05Rik,18.410291
0610038B21Rik,0.133181
0610039K10Rik,0.1
0610040B10Rik,5.552299
0610040F04Rik,0.571453
0610040J01Rik,1.188137
0610043K17Rik,0.178491
0910001L09Rik,25.265806
1100001G20Rik,0.414654
1110001A16Rik,9.497323
1110001J03Rik,34.940863
1110002B05Rik,29.584322
1110002L01Rik,0.636222
1110002N22Rik,2.689686
1110003E01Rik,35.076772
1110004E09Rik,9.188081
1110004F10Rik,31.144228
1110005A03Rik,2.922948
1110006O24Rik,0.792975
1110007C09Rik,13.286778
1110008F13Rik,29.229241
1110008J03Rik,6.738614
1110008L16Rik,1.795142
1110008P14Rik,68.113806
1110012D08Rik,5.143185
1110012J17Rik,5.123517
1110012L19Rik,5.436186
1110014N23Rik,16.106872
1110017D15Rik,1.436237
1110017F19Rik,0.1
1110018G07Rik,17.280213
1110018J18Rik,3.474119
1110020A21Rik,1.074158
1110020G09Rik,19.336812
1110021J02Rik,8.301797
1110021L09Rik,4.466004
1110028C15Rik,2.274573
1110031I02Rik,6.040582
1110032A03Rik,11.701522
1110032A04Rik,4.727978
1110032F04Rik,1.665792
1110034A24Rik,2.173111
1110034B05Rik,3.584519
1110034G24Rik,4.58215
1110036E04Rik,0.1
1110037F02Rik,3.763598
1110038B12Rik,2.430559
1110038D17Rik,4.215835
1110038F14Rik,9.923866
1110046J04Rik,2.137648
1110049F12Rik,45.586279
1110051M20Rik,33.47846
1110054M08Rik,3.602992
1110054O05Rik,2.793889
1110057K04Rik,18.546222
1110058L19Rik,18.139653
1110059E24Rik,11.603038
1110059G10Rik,1.679749
1110059M19Rik,0.1
1110065P20Rik,26.139128
1110067D22Rik,12.751096
1190002F15Rik,0.1
1190002H23Rik,7.839483
1190002N15Rik,6.627343
1190003J15Rik,0.113769
1190003K10Rik,0.1
1190005F20Rik,6.484735
1190005I06Rik,6.716333
1190007F08Rik,7.448932
1190007I07Rik,4.86285
1200009I06Rik,2.132707
1200011I18Rik,5.043765
1200011M11Rik,3.489133
1200014J11Rik,2.88173
1200016B10Rik,1.725241
1300001I01Rik,18.738197
1300002E11Rik,1.277729
1300002K09Rik,0.1
1300010F03Rik,10.24043
1300014I06Rik,4.5757
1300015D01Rik,0.254288
1300017J02Rik,0.1
1300018I17Rik,13.100035
1300018J18Rik,10.206833
1500001M20Rik,4.234099
1500002O10Rik,0.1
1500002O20Rik,10.052027
1500003O03Rik,61.209217
1500004A13Rik,2.588506
1500009C09Rik,25.062016
1500009L16Rik,8.194635
1500010J02Rik,6.390113
1500011B03Rik,33.473405
1500011H22Rik,23.140363
1500011K16Rik,1.351299
1500012F01Rik,21.905419
1500015A07Rik,2.221464
1500015O10Rik,5.511415
1500016L03Rik,5.238462
1500017E21Rik,0.248692
1500031L02Rik,13.551102
1500032L24Rik,128.104917
1520402A15Rik,4.912869
1600002D24Rik,0.1
1600002H07Rik,3.14984
1600002K03Rik,3.124302
1600010M07Rik,0.1
1600012F09Rik,3.566605
1600012H06Rik,7.215752
1600014C10Rik,7.820493
1600014C23Rik,0.269869
1600014K23Rik,0.1
1600015I10Rik,0.1
1600016N20Rik,0.104165
1600019K03Rik,0.1
1600020E01Rik,3.996831
1600021P15Rik,6.30777
1600025M17Rik,0.1
1600027N09Rik,3.360828
1600029D21Rik,0.1
1600029I14Rik,0.134784
1600029O15Rik,0.1
1700001C02Rik,0.378924
1700001C19Rik,0.1
1700001F09Rik,0.203696
1700001G11Rik,0.515309
1700001G17Rik,0.381591
1700001J03Rik,0.276117
1700001J11Rik,0.1
1700001K19Rik,0.581486
1700001K23Rik,0.1
1700001L05Rik,0.601803
1700001L19Rik,1.431546
1700001O22Rik,1.317989
1700001P01Rik,0.1
1700003E16Rik,4.435302
1700003F12Rik,0.497801
1700003G13Rik,0.1
1700003G18Rik,0.1
