gene.symbol,7DM2
0610005C13Rik,0.133333
0610007C21Rik,52.863325
0610007L01Rik,12.954213
0610007P08Rik,4.469857
0610007P14Rik,14.458632
0610007P22Rik,7.074587
0610008F07Rik,0.1
0610009B14Rik,0.1
0610009B22Rik,15.404568
0610009D07Rik,20.770489
0610009L18Rik,4.627506
0610009O20Rik,10.163528
0610010B08Rik,0.1
0610010F05Rik,6.207564
0610010K14Rik,19.480355
0610010O12Rik,22.362683
0610011F06Rik,9.198423
0610011L14Rik,7.18706
0610012G03Rik,14.314606
0610012H03Rik,0.173103
0610030E20Rik,6.128085
0610031J06Rik,109.854879
0610037L13Rik,10.9738
0610037P05Rik,14.675158
0610038B21Rik,0.147973
0610039K10Rik,0.1
0610040B10Rik,4.327674
0610040F04Rik,0.1
0610040J01Rik,1.583862
0610043K17Rik,0.1
0910001L09Rik,41.141118
1100001G20Rik,0.145925
1110001A16Rik,8.851156
1110001J03Rik,10.493728
1110002B05Rik,78.796524
1110002L01Rik,0.470186
1110002N22Rik,2.523043
1110003E01Rik,35.256512
1110004E09Rik,6.042422
1110004F10Rik,31.76503
1110005A03Rik,5.343645
1110006O24Rik,0.879001
1110007C09Rik,45.979771
1110008F13Rik,49.576799
1110008J03Rik,1.956433
1110008L16Rik,2.005331
1110008P14Rik,31.132627
1110012D08Rik,12.203381
1110012J17Rik,1.647468
1110012L19Rik,6.038887
1110014N23Rik,13.885617
1110017D15Rik,1.777799
1110017F19Rik,0.115979
1110018G07Rik,11.424873
1110018J18Rik,6.405093
1110020A21Rik,0.274238
1110020G09Rik,13.189852
1110021J02Rik,5.289662
1110021L09Rik,4.106633
1110028C15Rik,3.230787
1110031I02Rik,6.308348
1110032A03Rik,8.011825
1110032A04Rik,0.651704
1110032F04Rik,0.100819
1110034A24Rik,2.891995
1110034B05Rik,4.323083
1110034G24Rik,3.788396
1110036E04Rik,0.1
1110037F02Rik,5.939128
1110038B12Rik,3.727238
1110038D17Rik,5.839436
1110038F14Rik,13.675572
1110046J04Rik,1.750028
1110049F12Rik,22.350652
1110051M20Rik,11.577897
1110054M08Rik,3.90507
1110054O05Rik,3.660873
1110057K04Rik,16.079632
1110058L19Rik,17.308031
1110059E24Rik,8.70354
1110059G10Rik,2.100856
1110059M19Rik,0.157097
1110065P20Rik,18.037709
1110067D22Rik,7.65822
1190002F15Rik,0.15221
1190002H23Rik,14.099701
1190002N15Rik,6.264551
1190003J15Rik,1.346897
1190003K10Rik,0.1
1190005F20Rik,6.989591
1190005I06Rik,6.031392
1190007F08Rik,6.412251
1190007I07Rik,2.832367
1200009I06Rik,2.283804
1200011I18Rik,4.775874
1200011M11Rik,3.667211
1200014J11Rik,3.351038
1200016B10Rik,2.08459
1300001I01Rik,12.411795
1300002E11Rik,4.971657
1300002K09Rik,7.30234
1300010F03Rik,9.967925
1300014I06Rik,14.09418
1300015D01Rik,0.1
1300017J02Rik,0.1
1300018I17Rik,8.97248
1300018J18Rik,8.513208
1500001M20Rik,2.918089
1500002O10Rik,0.1
1500002O20Rik,10.551535
1500003O03Rik,40.229019
1500004A13Rik,1.731151
1500009C09Rik,4.624502
1500009L16Rik,4.661465
1500010J02Rik,6.759874
1500011B03Rik,14.590428
1500011H22Rik,11.745131
1500011K16Rik,1.44549
1500012F01Rik,21.831533
1500015A07Rik,1.152984
1500015O10Rik,14.137039
1500016L03Rik,0.247315
1500017E21Rik,0.196506
1500031L02Rik,5.459033
1500032L24Rik,81.79611
1520402A15Rik,3.444676
1600002D24Rik,0.1
1600002H07Rik,2.538647
1600002K03Rik,7.394959
1600010M07Rik,0.684342
1600012F09Rik,5.162986
1600012H06Rik,12.229491
1600014C10Rik,9.998155
1600014C23Rik,0.1
1600014K23Rik,0.1
1600015I10Rik,0.1
1600016N20Rik,0.156122
1600019K03Rik,0.1
1600020E01Rik,4.96333
1600021P15Rik,4.927135
1600025M17Rik,0.1
1600027N09Rik,4.525807
1600029D21Rik,0.325146
1600029I14Rik,0.268268
1600029O15Rik,0.1
1700001C02Rik,0.545376
1700001C19Rik,0.221987
1700001F09Rik,0.1
1700001G11Rik,0.154124
1700001G17Rik,0.1
1700001J03Rik,0.24457
1700001J11Rik,0.128452
1700001K19Rik,0.1
1700001K23Rik,0.1
1700001L05Rik,0.38887
1700001L19Rik,0.402043
1700001O22Rik,1.061572
1700001P01Rik,0.1
1700003E16Rik,1.323716
1700003F12Rik,1.48218
1700003G13Rik,0.1
1700003G18Rik,0.1
1700003H04Rik,0.1
1700003L19Rik,0.1
1700003M02Rik,0.320908
1700003M07Rik,1.005461
1700006A11Rik,0.1
1700006E09Rik,0.1
1700007B14Rik,0.1
1700007E06Rik,0.1
1700007F19Rik,0.1
1700007G11Rik,0.706924
1700007I08Rik,0.1
1700007K09Rik,0.1
1700007K13Rik,3.748149
1700007P06Rik,0.1
1700008A04Rik,0.1
1700008F21Rik,0.1
1700008I05Rik,0.1
1700008J07Rik,0.725606
1700008K24Rik,0.1
1700008O03Rik,0.640912
1700008P02Rik,0.1
1700008P20Rik,0.293047
1700009J07Rik,0.1
1700009N14Rik,0.1
1700009P17Rik,3.962867
1700010B08Rik,0.1
1700010D01Rik,0.1
1700010I02Rik,0.1
1700010I14Rik,0.813543
1700010J16Rik,0.1
1700010K23Rik,0.1
1700010M22Rik,0.1
1700011A15Rik,0.1
1700011E24Rik,0.1
1700011F03Rik,0.1
1700011F14Rik,0.1
1700011H14Rik,0.1
1700011I03Rik,0.1
1700011L22Rik,0.111602
1700011M02Rik,0.1
1700012A03Rik,0.1
1700012A16Rik,1.676079
1700012B07Rik,0.1
1700012B09Rik,0.301483
1700012B15Rik,6.941157
1700012D14Rik,0.440932
1700012L04Rik,0.1
1700012P22Rik,0.115983
1700013D24Rik,0.1
1700013F07Rik,0.1
1700013G24Rik,0.1
1700013H16Rik,0.1
1700013N18Rik,0.1
1700014N06Rik,0.1
1700015E13Rik,0.1
1700015F17Rik,0.1
1700015G11Rik,0.1
1700016C15Rik,0.1
1700016D06Rik,0.1
1700016H13Rik,0.1
1700016K19Rik,0.746213
1700016L21Rik,0.1
1700016M24Rik,0.1
1700016P04Rik,0.1
1700017B05Rik,12.538591
1700017D01Rik,0.1
1700017G19Rik,0.1
1700017J07Rik,0.1
1700017N19Rik,0.1
1700018A04Rik,0.1
1700018A14Rik,0.1
1700018B08Rik,0.1
1700018B24Rik,0.1
1700018C11Rik,0.1
1700018F24Rik,0.1
1700018L02Rik,1.608481
1700018L24Rik,0.136663
1700019A02Rik,0.1
1700019B03Rik,0.1
1700019D03Rik,0.138993
1700019E08Rik,0.1
1700019E19Rik,11.397552
1700019G17Rik,1.512019
1700019G24Rik,0.10264
1700019L03Rik,0.276608
1700019M22Rik,0.1
1700019N12Rik,0.126424
1700019N19Rik,0.1
1700019O17Rik,0.1
1700020A23Rik,0.400943
1700020C07Rik,0.977605
1700020D05Rik,1.32488
1700020I14Rik,14.674637
1700020L24Rik,1.023913
1700020M21Rik,0.1
1700020N01Rik,0.1
1700020N18Rik,0.1
1700020O03Rik,9.071717
1700021C14Rik,1.443608
1700021F05Rik,9.107051
1700021F07Rik,0.1
1700021K19Rik,13.703137
1700022A21Rik,0.1
1700022E09Rik,0.1
1700022I11Rik,0.1
1700022P22Rik,0.274675
1700023A16Rik,0.1
1700023E05Rik,0.102496
1700023F02Rik,0.1
1700023I07Rik,0.1
1700023L04Rik,0.466535
1700024G13Rik,0.158452
1700024P03Rik,0.1
1700024P04Rik,0.1
1700024P16Rik,0.1
1700025B11Rik,0.1
1700025C18Rik,0.1
1700025E21Rik,0.1
1700025F22Rik,0.1
1700025F24Rik,0.1
1700025G04Rik,3.873855
1700025K23Rik,5.8963
1700025M24Rik,0.1
1700025N23Rik,0.1
1700026D08Rik,0.39223
1700026D11Rik,0.1
1700026J04Rik,0.192207
1700026L06Rik,1.324918
1700027A15Rik,0.1
1700027A23Rik,0.37959
1700027D21Rik,0.1
1700027F09Rik,0.1
1700027H10Rik,0.1
1700027I24Rik,0.1
1700027J07Rik,0.1
1700027L20Rik,0.137906
1700028B04Rik,0.1
1700028I16Rik,0.1
1700028J19Rik,0.380973
1700028K03Rik,0.658803
1700028M03Rik,0.1
1700028P14Rik,0.2012
1700028P15Rik,0.1
1700029B22Rik,0.1
1700029F09Rik,2.468606
1700029F12Rik,0.1
1700029G01Rik,1.052485
1700029H14Rik,0.1
1700029I15Rik,0.761945
1700029J03Rik,0.1
1700029J07Rik,2.078683
1700029J11Rik,0.1
1700029M20Rik,0.1
1700029P11Rik,0.1
1700030C10Rik,1.1552
1700030F18Rik,0.1
1700030J22Rik,0.541021
1700030K09Rik,2.77802
1700030L20Rik,0.1
1700031F05Rik,0.1
1700031M16Rik,0.1
