gene.symbol,2DM1
0610005C13Rik,0.1
0610007C21Rik,39.102512
0610007L01Rik,15.660676
0610007P08Rik,3.246634
0610007P14Rik,24.789074
0610007P22Rik,12.255314
0610008F07Rik,0.1
0610009B14Rik,0.1
0610009B22Rik,15.968582
0610009D07Rik,27.629854
0610009L18Rik,3.088766
0610009O20Rik,11.464337
0610010B08Rik,0.1
0610010F05Rik,8.792035
0610010K14Rik,25.593579
0610010O12Rik,40.144184
0610011F06Rik,10.203831
0610011L14Rik,9.545034
0610012G03Rik,16.410277
0610012H03Rik,0.1
0610030E20Rik,3.46975
0610031J06Rik,38.035672
0610037L13Rik,17.595191
0610037P05Rik,17.604634
0610038B21Rik,0.1
0610039K10Rik,0.1
0610040B10Rik,3.452504
0610040F04Rik,0.340461
0610040J01Rik,1.525729
0610043K17Rik,0.1
0910001L09Rik,39.530122
1100001G20Rik,20.586251
1110001A16Rik,6.652073
1110001J03Rik,27.841329
1110002B05Rik,33.647366
1110002L01Rik,0.524674
1110002N22Rik,3.408913
1110003E01Rik,30.689441
1110004E09Rik,12.139896
1110004F10Rik,41.356114
1110005A03Rik,4.717506
1110006O24Rik,0.501374
1110007C09Rik,32.705063
1110008F13Rik,50.311764
1110008J03Rik,5.118827
1110008L16Rik,1.859236
1110008P14Rik,84.054714
1110012D08Rik,12.480907
1110012J17Rik,4.956217
1110012L19Rik,7.668971
1110014N23Rik,12.885149
1110017D15Rik,1.103313
1110017F19Rik,0.240181
1110018G07Rik,12.091609
1110018J18Rik,4.686525
1110020A21Rik,0.526958
1110020G09Rik,10.538049
1110021J02Rik,7.187323
1110021L09Rik,4.740904
1110028C15Rik,1.803173
1110031I02Rik,6.35216
1110032A03Rik,8.324996
1110032A04Rik,1.688262
1110032F04Rik,2.67641
1110034A24Rik,2.653855
1110034B05Rik,4.937404
1110034G24Rik,3.750845
1110036E04Rik,0.1
1110037F02Rik,4.861649
1110038B12Rik,12.558825
1110038D17Rik,5.695851
1110038F14Rik,13.624494
1110046J04Rik,3.064067
1110049F12Rik,47.245449
1110051M20Rik,21.850439
1110054M08Rik,2.496
1110054O05Rik,3.166569
1110057K04Rik,16.19497
1110058L19Rik,15.509565
1110059E24Rik,11.496086
1110059G10Rik,1.988242
1110059M19Rik,0.1
1110065P20Rik,25.465818
1110067D22Rik,10.459903
1190002F15Rik,0.1
1190002H23Rik,19.576891
1190002N15Rik,3.733488
1190003J15Rik,2.20864
1190003K10Rik,0.1
1190005F20Rik,6.087921
1190005I06Rik,3.018856
1190007F08Rik,6.639247
1190007I07Rik,3.563288
1200009I06Rik,1.207053
1200011I18Rik,4.370114
1200011M11Rik,3.963358
1200014J11Rik,3.192137
1200016B10Rik,1.891811
1300001I01Rik,17.582721
1300002E11Rik,3.657661
1300002K09Rik,0.417774
1300010F03Rik,9.262302
1300014I06Rik,12.147887
1300015D01Rik,0.221597
1300017J02Rik,0.102304
1300018I17Rik,10.1495
1300018J18Rik,8.272906
1500001M20Rik,5.917795
1500002O10Rik,0.151814
1500002O20Rik,13.27034
1500003O03Rik,63.718118
1500004A13Rik,1.968849
1500009C09Rik,11.669904
1500009L16Rik,5.798253
1500010J02Rik,6.571997
1500011B03Rik,27.228546
1500011H22Rik,19.121269
1500011K16Rik,0.1
1500012F01Rik,31.444783
1500015A07Rik,2.105528
1500015O10Rik,3.876681
1500016L03Rik,1.485291
1500017E21Rik,0.1
1500031L02Rik,11.002312
1500032L24Rik,150.81303
1520402A15Rik,4.607853
1600002D24Rik,0.1
1600002H07Rik,3.051636
1600002K03Rik,6.641653
1600010M07Rik,0.115551
1600012F09Rik,4.419812
1600012H06Rik,9.08057
1600014C10Rik,8.663895
1600014C23Rik,0.1
1600014K23Rik,0.1
1600015I10Rik,0.1
1600016N20Rik,0.1
1600019K03Rik,0.1
1600020E01Rik,3.623259
1600021P15Rik,5.609924
1600025M17Rik,0.1
1600027N09Rik,4.053952
1600029D21Rik,2.138236
1600029I14Rik,0.1
1600029O15Rik,0.1
1700001C02Rik,0.115354
1700001C19Rik,0.1
1700001F09Rik,0.11637
1700001G11Rik,0.19839
1700001G17Rik,0.26243
1700001J03Rik,0.245693
1700001J11Rik,0.164981
1700001K19Rik,0.427047
1700001K23Rik,0.1
1700001L05Rik,0.753409
1700001L19Rik,0.934819
1700001O22Rik,0.665271
1700001P01Rik,0.1
1700003E16Rik,3.422157
1700003F12Rik,0.828864
1700003G13Rik,0.1
1700003G18Rik,0.1
1700003H04Rik,0.1
1700003L19Rik,0.1
1700003M02Rik,0.743534
1700003M07Rik,1.386042
1700006A11Rik,0.1
1700006E09Rik,0.1
1700007B14Rik,0.1
1700007E06Rik,0.1
1700007F19Rik,0.1
1700007G11Rik,0.1
1700007I08Rik,0.418891
1700007K09Rik,0.122734
1700007K13Rik,2.06645
1700007P06Rik,0.1
1700008A04Rik,0.1
1700008F21Rik,0.1
1700008I05Rik,0.1
1700008J07Rik,0.345134
1700008K24Rik,0.177332
1700008O03Rik,0.212272
1700008P02Rik,0.1
1700008P20Rik,0.135707
1700009J07Rik,0.1
1700009N14Rik,0.1
1700009P17Rik,2.030669
1700010B08Rik,0.1
1700010D01Rik,0.1
1700010I02Rik,0.1
1700010I14Rik,0.511998
1700010J16Rik,0.1
1700010K23Rik,0.1
1700010M22Rik,0.1
1700011A15Rik,0.1
1700011E24Rik,0.1
1700011F03Rik,0.1
1700011F14Rik,0.459839
1700011H14Rik,0.1
1700011I03Rik,0.301221
1700011L22Rik,0.168305
1700011M02Rik,0.1
1700012A03Rik,0.1
1700012A16Rik,0.694752
1700012B07Rik,0.1
1700012B09Rik,0.572198
1700012B15Rik,6.780045
1700012D14Rik,0.132603
1700012L04Rik,0.1
1700012P22Rik,0.1
1700013D24Rik,0.1
1700013F07Rik,0.102866
1700013G24Rik,0.1
1700013H16Rik,0.1
1700013N18Rik,0.1
1700014N06Rik,0.1
1700015E13Rik,0.100222
1700015F17Rik,0.10661
1700015G11Rik,0.1
1700016C15Rik,0.1
1700016D06Rik,0.1
1700016H13Rik,0.1
1700016K19Rik,0.269321
1700016L21Rik,0.1
1700016M24Rik,0.1
1700016P04Rik,0.1
1700017B05Rik,4.669319
1700017D01Rik,0.1
1700017G19Rik,0.1
1700017J07Rik,0.1
1700017N19Rik,0.1
1700018A04Rik,0.1
1700018A14Rik,0.110053
1700018B08Rik,0.1
1700018B24Rik,0.1
1700018C11Rik,0.1
1700018F24Rik,0.1
1700018L02Rik,1.9523
1700018L24Rik,0.1
1700019A02Rik,0.1
1700019B03Rik,0.1
1700019D03Rik,0.958879
1700019E08Rik,0.1
1700019E19Rik,13.938279
1700019G17Rik,0.987468
1700019G24Rik,0.1
1700019L03Rik,0.167873
1700019M22Rik,0.1
1700019N12Rik,1.586674
1700019N19Rik,0.1
1700019O17Rik,0.1
1700020A23Rik,0.218577
1700020C07Rik,0.1
1700020D05Rik,0.411641
1700020I14Rik,21.573793
1700020L24Rik,2.594625
1700020M21Rik,0.1
1700020N01Rik,0.1
1700020N18Rik,0.1
1700020O03Rik,8.024242
1700021C14Rik,2.306938
1700021F05Rik,16.087982
1700021F07Rik,0.1
1700021K19Rik,13.492022
1700022A21Rik,0.1
1700022E09Rik,0.1
1700022I11Rik,0.1
1700022P22Rik,0.1
1700023A16Rik,0.1
1700023E05Rik,0.1
1700023F02Rik,0.1
1700023I07Rik,0.1
1700023L04Rik,0.532562
1700024G13Rik,0.1
1700024P03Rik,0.1
1700024P04Rik,0.1
1700024P16Rik,0.1
1700025B11Rik,0.1
1700025C18Rik,0.1
1700025E21Rik,0.113494
1700025F22Rik,0.1
1700025F24Rik,0.1
1700025G04Rik,6.027644
1700025K23Rik,4.162056
1700025M24Rik,0.1
1700025N23Rik,0.1
1700026D08Rik,0.1
1700026D11Rik,0.1
1700026J04Rik,0.130197
1700026L06Rik,0.1621
1700027A15Rik,0.1
1700027A23Rik,0.439241
1700027D21Rik,0.1
1700027F09Rik,0.1
1700027H10Rik,0.1
1700027I24Rik,0.1
1700027J07Rik,0.1
1700027L20Rik,0.258315
1700028B04Rik,0.1
1700028I16Rik,0.1
1700028J19Rik,0.424878
1700028K03Rik,0.436779
1700028M03Rik,0.1
1700028P14Rik,0.163733
1700028P15Rik,0.1
