gene.symbol,CTR2
0610005C13Rik,0.1
0610007C21Rik,34.510225
0610007L01Rik,16.508558
0610007P08Rik,3.928823
0610007P14Rik,24.938612
0610007P22Rik,10.190577
0610008F07Rik,0.1
0610009B14Rik,0.1
0610009B22Rik,14.803612
0610009D07Rik,18.457798
0610009L18Rik,3.231075
0610009O20Rik,11.329224
0610010B08Rik,0.1
0610010F05Rik,9.303066
0610010K14Rik,14.790009
0610010O12Rik,35.639858
0610011F06Rik,11.900408
0610011L14Rik,9.693394
0610012G03Rik,11.870061
0610012H03Rik,0.1
0610030E20Rik,4.083537
0610031J06Rik,21.07321
0610037L13Rik,13.866048
0610037P05Rik,14.975244
0610038B21Rik,0.213115
0610039K10Rik,0.1
0610040B10Rik,4.238493
0610040F04Rik,0.809481
0610040J01Rik,0.869266
0610043K17Rik,0.198434
0910001L09Rik,25.785482
1100001G20Rik,0.175242
1110001A16Rik,6.511871
1110001J03Rik,25.405988
1110002B05Rik,25.382163
1110002L01Rik,0.486122
1110002N22Rik,2.28423
1110003E01Rik,32.08965
1110004E09Rik,9.803472
1110004F10Rik,29.298627
1110005A03Rik,3.249887
1110006O24Rik,0.6369
1110007C09Rik,11.258494
1110008F13Rik,29.071296
1110008J03Rik,7.108744
1110008L16Rik,1.873462
1110008P14Rik,59.460982
1110012D08Rik,5.322999
1110012J17Rik,5.239663
1110012L19Rik,5.237694
1110014N23Rik,15.043705
1110017D15Rik,1.480134
1110017F19Rik,0.1
1110018G07Rik,17.458012
1110018J18Rik,2.968156
1110020A21Rik,0.703801
1110020G09Rik,18.861411
1110021J02Rik,8.409883
1110021L09Rik,3.676813
1110028C15Rik,2.494028
1110031I02Rik,5.749343
1110032A03Rik,9.977883
1110032A04Rik,5.403097
1110032F04Rik,1.410816
1110034A24Rik,2.241512
1110034B05Rik,3.501113
1110034G24Rik,3.818648
1110036E04Rik,0.1
1110037F02Rik,4.106771
1110038B12Rik,2.77883
1110038D17Rik,4.265306
1110038F14Rik,8.937923
1110046J04Rik,2.731705
1110049F12Rik,44.668252
1110051M20Rik,32.505372
1110054M08Rik,3.702943
1110054O05Rik,3.028413
1110057K04Rik,16.668602
1110058L19Rik,17.69695
1110059E24Rik,11.730982
1110059G10Rik,1.801943
1110059M19Rik,0.149586
1110065P20Rik,22.055969
1110067D22Rik,12.228659
1190002F15Rik,0.1
1190002H23Rik,6.952868
1190002N15Rik,6.567055
1190003J15Rik,0.1
1190003K10Rik,0.1
1190005F20Rik,5.565463
1190005I06Rik,7.017019
1190007F08Rik,7.737068
1190007I07Rik,3.423976
1200009I06Rik,2.131792
1200011I18Rik,5.063741
1200011M11Rik,3.320478
1200014J11Rik,3.015289
1200016B10Rik,1.71326
1300001I01Rik,19.135506
1300002E11Rik,1.372149
1300002K09Rik,0.1
1300010F03Rik,10.505822
1300014I06Rik,3.815076
1300015D01Rik,0.217903
1300017J02Rik,0.1
1300018I17Rik,12.927434
1300018J18Rik,9.126711
1500001M20Rik,4.371052
1500002O10Rik,0.1
1500002O20Rik,11.083059
1500003O03Rik,61.563444
1500004A13Rik,2.559748
1500009C09Rik,29.029761
1500009L16Rik,7.61459
1500010J02Rik,6.007074
1500011B03Rik,37.258142
1500011H22Rik,23.214953
1500011K16Rik,0.1
1500012F01Rik,21.935972
1500015A07Rik,1.360029
1500015O10Rik,3.292453
1500016L03Rik,3.980335
1500017E21Rik,0.1
1500031L02Rik,13.253286
1500032L24Rik,120.057428
1520402A15Rik,5.162079
1600002D24Rik,0.1
1600002H07Rik,2.400626
1600002K03Rik,2.527406
1600010M07Rik,0.1
1600012F09Rik,3.692101
1600012H06Rik,7.221373
1600014C10Rik,7.909483
1600014C23Rik,0.154344
1600014K23Rik,0.1
1600015I10Rik,0.1
1600016N20Rik,0.1
1600019K03Rik,0.1
1600020E01Rik,3.923686
1600021P15Rik,6.576236
1600025M17Rik,0.1
1600027N09Rik,3.35615
1600029D21Rik,0.1
1600029I14Rik,0.154105
1600029O15Rik,0.1
1700001C02Rik,0.761318
1700001C19Rik,0.1
1700001F09Rik,0.1
1700001G11Rik,0.17409
1700001G17Rik,0.247799
1700001J03Rik,0.423971
1700001J11Rik,0.114826
1700001K19Rik,0.643047
1700001K23Rik,0.1
1700001L05Rik,0.264144
1700001L19Rik,1.326307
1700001O22Rik,1.417641
1700001P01Rik,0.1
1700003E16Rik,4.403304
1700003F12Rik,0.549109
1700003G13Rik,0.1
1700003G18Rik,0.1
1700003H04Rik,0.1
1700003L19Rik,0.1
1700003M02Rik,0.277606
1700003M07Rik,4.172798
1700006A11Rik,0.1
1700006E09Rik,0.1
1700007B14Rik,0.1
1700007E06Rik,0.1
1700007F19Rik,0.162964
1700007G11Rik,0.230171
1700007I08Rik,0.65869
1700007K09Rik,0.178001
1700007K13Rik,3.326345
1700007P06Rik,0.1
1700008A04Rik,0.1
1700008F21Rik,0.123784
1700008I05Rik,0.1
1700008J07Rik,0.327793
1700008K24Rik,0.1
1700008O03Rik,0.680883
1700008P02Rik,0.1
1700008P20Rik,0.1
1700009J07Rik,0.1
1700009N14Rik,0.1
1700009P17Rik,2.2165
1700010B08Rik,0.1
1700010D01Rik,0.1
1700010I02Rik,0.1
1700010I14Rik,0.376439
1700010J16Rik,0.1
1700010K23Rik,0.1
1700010M22Rik,0.1
1700011A15Rik,0.1
1700011E24Rik,0.1
1700011F03Rik,0.1
1700011F14Rik,0.136157
1700011H14Rik,0.1
1700011I03Rik,0.315181
1700011L22Rik,0.1
1700011M02Rik,0.1
1700012A03Rik,0.1
1700012A16Rik,1.103316
1700012B07Rik,0.1
1700012B09Rik,0.645929
1700012B15Rik,6.064293
1700012D14Rik,0.125684
1700012L04Rik,0.1
1700012P22Rik,0.208842
1700013D24Rik,0.1
1700013F07Rik,0.186937
1700013G24Rik,0.1
1700013H16Rik,0.1
1700013N18Rik,0.1
1700014N06Rik,0.1
1700015E13Rik,0.190902
1700015F17Rik,0.1
1700015G11Rik,0.1
1700016C15Rik,0.1
1700016D06Rik,0.1
1700016H13Rik,0.1
1700016K19Rik,0.677142
1700016L21Rik,0.1
1700016M24Rik,0.1
1700016P04Rik,0.1
1700017B05Rik,1.714902
1700017D01Rik,0.1
1700017G19Rik,0.1
1700017J07Rik,0.1
1700017N19Rik,0.1
1700018A04Rik,0.1
1700018A14Rik,0.211166
1700018B08Rik,0.1
1700018B24Rik,0.1
1700018C11Rik,0.1
1700018F24Rik,0.1
