gene.symbol,7DM3
0610005C13Rik,0.1
0610007C21Rik,71.543224
0610007L01Rik,9.298727
0610007P08Rik,2.204433
0610007P14Rik,17.421669
0610007P22Rik,11.007462
0610008F07Rik,0.1
0610009B14Rik,0.140885
0610009B22Rik,15.058417
0610009D07Rik,25.721888
0610009L18Rik,5.827352
0610009O20Rik,9.520921
0610010B08Rik,0.1
0610010F05Rik,3.460386
0610010K14Rik,33.569067
0610010O12Rik,32.062806
0610011F06Rik,11.931638
0610011L14Rik,5.631231
0610012G03Rik,22.815389
0610012H03Rik,0.1
0610030E20Rik,2.532858
0610031J06Rik,132.023259
0610037L13Rik,12.467475
0610037P05Rik,16.355224
0610038B21Rik,0.1
0610039K10Rik,0.1
0610040B10Rik,4.22817
0610040F04Rik,0.1518
0610040J01Rik,1.928962
0610043K17Rik,0.1
0910001L09Rik,65.797912
1100001G20Rik,0.224993
1110001A16Rik,8.994616
1110001J03Rik,24.442998
1110002B05Rik,66.643981
1110002L01Rik,0.155296
1110002N22Rik,3.565911
1110003E01Rik,30.576856
1110004E09Rik,8.457371
1110004F10Rik,35.723781
1110005A03Rik,7.176125
1110006O24Rik,1.073666
1110007C09Rik,70.631233
1110008F13Rik,52.942243
1110008J03Rik,3.217443
1110008L16Rik,1.322303
1110008P14Rik,54.640877
1110012D08Rik,10.28368
1110012J17Rik,1.322686
1110012L19Rik,8.316422
1110014N23Rik,14.767379
1110017D15Rik,3.1793
1110017F19Rik,0.263753
1110018G07Rik,6.611303
1110018J18Rik,3.359155
1110020A21Rik,0.600206
1110020G09Rik,8.551045
1110021J02Rik,4.946024
1110021L09Rik,2.663719
1110028C15Rik,1.90067
1110031I02Rik,8.832606
1110032A03Rik,9.479162
1110032A04Rik,0.222909
1110032F04Rik,0.268048
1110034A24Rik,1.674778
1110034B05Rik,4.37452
1110034G24Rik,6.209705
1110036E04Rik,0.1
1110037F02Rik,2.730999
1110038B12Rik,11.977503
1110038D17Rik,4.218283
1110038F14Rik,16.709242
1110046J04Rik,2.300907
1110049F12Rik,32.244478
1110051M20Rik,13.690774
1110054M08Rik,6.149011
1110054O05Rik,2.763477
1110057K04Rik,12.932907
1110058L19Rik,24.839108
1110059E24Rik,9.120083
1110059G10Rik,1.648986
1110059M19Rik,0.166816
1110065P20Rik,31.180841
1110067D22Rik,4.937203
1190002F15Rik,0.1
1190002H23Rik,19.330041
1190002N15Rik,4.368031
1190003J15Rik,1.846663
1190003K10Rik,0.1
1190005F20Rik,5.494153
1190005I06Rik,9.107033
1190007F08Rik,6.937866
1190007I07Rik,3.168582
1200009I06Rik,1.576396
1200011I18Rik,2.36549
1200011M11Rik,2.614814
1200014J11Rik,1.857773
1200016B10Rik,1.648409
1300001I01Rik,8.149139
1300002E11Rik,1.211124
1300002K09Rik,3.74298
1300010F03Rik,6.198882
1300014I06Rik,20.928977
1300015D01Rik,0.1
1300017J02Rik,0.1
1300018I17Rik,8.408567
1300018J18Rik,8.367967
1500001M20Rik,3.824907
1500002O10Rik,0.1
1500002O20Rik,13.736002
1500003O03Rik,27.919834
1500004A13Rik,0.810296
1500009C09Rik,7.887091
1500009L16Rik,5.280562
1500010J02Rik,5.943779
1500011B03Rik,9.64565
1500011H22Rik,17.800691
1500011K16Rik,2.444219
1500012F01Rik,30.59425
1500015A07Rik,1.512173
1500015O10Rik,24.100368
1500016L03Rik,0.471735
1500017E21Rik,0.612733
1500031L02Rik,5.848828
1500032L24Rik,134.549015
1520402A15Rik,1.889169
1600002D24Rik,0.1
1600002H07Rik,3.016201
1600002K03Rik,9.010023
1600010M07Rik,0.570031
1600012F09Rik,3.372084
1600012H06Rik,8.663234
1600014C10Rik,6.921806
1600014C23Rik,0.1
1600014K23Rik,0.1
1600015I10Rik,0.1
1600016N20Rik,0.112289
1600019K03Rik,0.1
1600020E01Rik,5.197772
1600021P15Rik,3.630061
1600025M17Rik,0.1
1600027N09Rik,5.280584
1600029D21Rik,0.174751
1600029I14Rik,0.208685
1600029O15Rik,0.1
1700001C02Rik,1.045093
1700001C19Rik,0.1
1700001F09Rik,0.1
1700001G11Rik,0.309525
