module	condition	p	direction	sig
1	injury	30	up	FALSE
1	injury	1.56783621001167e-25	down	TRUE
1	Ed1	30	up	FALSE
1	Ed1	1.06338817459322e-37	down	TRUE
1	Ed3	30	up	FALSE
1	Ed3	7.703556335191e-23	down	TRUE
1	Ewk1	29.9999999999999	up	FALSE
1	Ewk1	5.56192147373779e-14	down	TRUE
1	Ewk2	29.999999988848	up	FALSE
1	Ewk2	1.11536443455685e-08	down	TRUE
1	Ewk8	30	up	FALSE
1	Ewk8	9.35748266381876e-18	down	TRUE
2	injury	30	up	FALSE
2	injury	1.21323502771429e-78	down	TRUE
2	Ed1	30	up	FALSE
2	Ed1	2.68097327224129e-66	down	TRUE
2	Ed3	30	up	FALSE
2	Ed3	1.07519148405383e-39	down	TRUE
2	Ewk1	30	up	FALSE
2	Ewk1	2.24438529573817e-81	down	TRUE
2	Ewk2	30	up	FALSE
2	Ewk2	8.04671231845944e-87	down	TRUE
2	Ewk8	30	up	FALSE
2	Ewk8	2.7463845805127e-78	down	TRUE
3	injury	2.02483537505809e-55	up	TRUE
3	injury	30	down	FALSE
3	Ed1	1.89578143605256e-51	up	TRUE
3	Ed1	30	down	FALSE
3	Ed3	8.83952182530947e-28	up	TRUE
3	Ed3	30	down	FALSE
3	Ewk1	2.37039698656329e-44	up	TRUE
3	Ewk1	30	down	FALSE
3	Ewk2	1.23574234010671e-54	up	TRUE
3	Ewk2	30	down	FALSE
3	Ewk8	1.2867894680092e-50	up	TRUE
3	Ewk8	30	down	FALSE
4	injury	29.9954057339296	up	FALSE
4	injury	0.00459510916117178	down	TRUE
4	Ed1	29.99404784864	up	FALSE
4	Ed1	0.00595322550318041	down	TRUE
4	Ed3	26.7896365431942	up	FALSE
4	Ed3	3.21062669218028	down	FALSE
4	Ewk1	29.9992036086679	up	FALSE
4	Ewk1	0.000796553023849305	down	TRUE
4	Ewk2	29.9986213975382	up	FALSE
4	Ewk2	0.00137887419551318	down	TRUE
4	Ewk8	29.9984040017052	up	FALSE
4	Ewk8	0.00159631031241175	down	TRUE
5	injury	23.722653748148	up	FALSE
5	injury	6.27775538098664	down	FALSE
5	Ed1	3.85992616942531	up	FALSE
5	Ed1	26.1403726156289	down	FALSE
5	Ed3	7.07646456377268	up	FALSE
5	Ed3	22.9239734938881	down	FALSE
5	Ewk1	27.7953565789605	up	FALSE
5	Ewk1	2.20484169391421	down	FALSE
5	Ewk2	29.6345035133856	up	FALSE
5	Ewk2	0.365541509074787	down	FALSE
5	Ewk8	28.1006025603042	up	FALSE
5	Ewk8	1.89957417145003	down	FALSE
6	injury	2.82744447652909e-15	up	TRUE
6	injury	30	down	FALSE
6	Ed1	5.56158881305984e-12	up	TRUE
6	Ed1	29.9999999999944	down	FALSE
6	Ed3	3.19124631128974e-06	up	TRUE
6	Ed3	29.9999968096194	down	FALSE
6	Ewk1	2.40284655229344e-16	up	TRUE
6	Ewk1	30	down	FALSE
6	Ewk2	1.02435440860709e-13	up	TRUE
6	Ewk2	29.9999999999999	down	FALSE
6	Ewk8	1.38108544054683e-13	up	TRUE
6	Ewk8	29.9999999999999	down	FALSE
7	injury	1.15884988646159e-34	up	TRUE
7	injury	30	down	FALSE
7	Ed1	9.85806509279044e-37	up	TRUE
7	Ed1	30	down	FALSE
7	Ed3	0.107673885794339	up	FALSE
7	Ed3	29.8923443757304	down	FALSE
7	Ewk1	8.00491478940434e-45	up	TRUE
7	Ewk1	30	down	FALSE
7	Ewk2	3.26470075193838e-41	up	TRUE
7	Ewk2	30	down	FALSE
7	Ewk8	6.44200501843656e-40	up	TRUE
7	Ewk8	30	down	FALSE
8	injury	3.76678846980962e-22	up	TRUE
8	injury	30	down	FALSE
8	Ed1	8.75059502525096e-21	up	TRUE
8	Ed1	30	down	FALSE
8	Ed3	9.69479137416691e-17	up	TRUE
8	Ed3	30	down	FALSE
8	Ewk1	5.7530775035547e-21	up	TRUE
8	Ewk1	30	down	FALSE
8	Ewk2	1.1359431165572e-13	up	TRUE
8	Ewk2	29.9999999999999	down	FALSE
8	Ewk8	3.28522843696171e-14	up	TRUE
8	Ewk8	30	down	FALSE
9	injury	29.6517086093294	up	FALSE
9	injury	0.348348821030926	down	FALSE
9	Ed1	29.9999731224518	up	FALSE
9	Ed1	2.68859740401812e-05	down	TRUE
9	Ed3	29.9999999998644	up	FALSE
9	Ed3	1.35654565566471e-10	down	TRUE
9	Ewk1	29.5404561123249	up	FALSE
9	Ewk1	0.459616851353843	down	FALSE
9	Ewk2	2.61186623272915	up	FALSE
9	Ewk2	27.3884335116627	down	FALSE
9	Ewk8	4.43125138081107e-05	up	TRUE
9	Ewk8	29.9999557010998	down	FALSE
10	injury	0.030024570399198	up	TRUE
10	injury	29.9699814983411	down	FALSE
10	Ed1	9.04578725870132e-06	up	TRUE
10	Ed1	29.999990957024	down	FALSE
10	Ed3	8.04918573342768e-07	up	TRUE
10	Ed3	29.9999991953526	down	FALSE
10	Ewk1	0.304347887126643	up	FALSE
10	Ewk1	29.6957007214409	down	FALSE
10	Ewk2	8.6636726520474	up	FALSE
10	Ewk2	21.3369426790313	down	FALSE
10	Ewk8	13.2657425012172	up	FALSE
10	Ewk8	16.7349685063801	down	FALSE
11	injury	2.58786606877104e-14	up	TRUE
11	injury	30	down	FALSE
11	Ed1	2.94831317966809e-18	up	TRUE
11	Ed1	30	down	FALSE
11	Ed3	1.69383285228001e-13	up	TRUE
11	Ed3	29.9999999999998	down	FALSE
11	Ewk1	7.20036556071063e-13	up	TRUE
11	Ewk1	29.9999999999993	down	FALSE
11	Ewk2	4.47543233116487e-09	up	TRUE
11	Ewk2	29.9999999955263	down	FALSE
11	Ewk8	1.29881054534911e-05	up	TRUE
11	Ewk8	29.9999870158413	down	FALSE
12	injury	26.1061402584968	up	FALSE
12	injury	3.89424398188725	down	FALSE
12	Ed1	0.918094212536574	up	FALSE
12	Ed1	29.0820315569123	down	FALSE
12	Ed3	0.000935453766894134	up	TRUE
12	Ed3	29.9990647859824	down	FALSE
12	Ewk1	28.5871252004309	up	FALSE
12	Ewk1	1.41305357601717	down	FALSE
12	Ewk2	29.9999950336202	up	FALSE
12	Ewk2	4.96797175285755e-06	down	TRUE
12	Ewk8	29.9999814665469	up	FALSE
12	Ewk8	1.8539116864559e-05	down	TRUE
13	injury	22.8564400204015	up	FALSE
13	injury	7.14427119158881	down	FALSE
13	Ed1	26.2363589134269	up	FALSE
13	Ed1	3.76411527478402	down	FALSE
13	Ed3	24.8356727898646	up	FALSE
13	Ed3	5.16491332424117	down	FALSE
13	Ewk1	26.4989889423595	up	FALSE
13	Ewk1	3.50146171819914	down	FALSE
13	Ewk2	20.931432300233	up	FALSE
13	Ewk2	9.06936930681452	down	FALSE
13	Ewk8	11.2395708143191	up	FALSE
13	Ewk8	18.7613001548123	down	FALSE
14	injury	7.81833484973805	up	FALSE
14	injury	22.1825042808584	down	FALSE
14	Ed1	18.0539671526899	up	FALSE
14	Ed1	11.947029954718	down	FALSE
14	Ed3	22.0468096221284	up	FALSE
14	Ed3	7.95403692514134	down	FALSE
14	Ewk1	7.50530062063284	up	FALSE
14	Ewk1	22.4955207779904	down	FALSE
14	Ewk2	8.21521136730097	up	FALSE
14	Ewk2	21.785649001256	down	FALSE
14	Ewk8	1.7635762525885	up	FALSE
14	Ewk8	28.2367266394935	down	FALSE
15	injury	24.3502064260107	up	FALSE
15	injury	5.65078940699018	down	FALSE
15	Ed1	20.1900849436128	up	FALSE
15	Ed1	9.81124634289825	down	FALSE
15	Ed3	11.587835906983	up	FALSE
15	Ed3	18.413575755818	down	FALSE
15	Ewk1	24.3859842809437	up	FALSE
15	Ewk1	5.61500765229333	down	FALSE
15	Ewk2	25.0224119711563	up	FALSE
15	Ewk2	4.97850725322597	down	FALSE
15	Ewk8	26.9229743590304	up	FALSE
15	Ewk8	3.07768527540936	down	FALSE
