filename	condition	time
GSM1095721_MF01_M3.CEL	SCI	wk8
GSM1095722_MF02_M4.CEL	SCI	wk8
GSM1095723_MF03_M5.CEL	SCI	wk8
GSM1095724_MF04_M6.CEL	SCI	wk8
GSM1095725_MF05_M12.CEL	sham	
GSM1095726_MF06_M13.CEL	sham	
GSM1095727_MF07_M15.CEL	sham	
GSM1095728_MF08_M16.CEL	sham	
GSM1095729_MF09_M17.CEL	SCI	wk2
GSM1095730_MF10_M18.CEL	SCI	wk2
GSM1095731_MF11_M19.CEL	SCI	wk2
GSM1095732_MF12_M20.CEL	SCI	wk2
GSM1095733_MF13_M23.CEL	SCI	wk1
GSM1095734_MF14_M24.CEL	SCI	wk1
GSM1095735_MF15_M25.CEL	SCI	wk1
GSM1095736_MF16_M26.CEL	SCI	wk1
GSM1095737_MF17_M28.CEL	SCI	d1
GSM1095738_MF18_M29.CEL	SCI	d1
GSM1095739_MF19_M30.CEL	SCI	d1
GSM1095740_MF20_M31.CEL	SCI	d1
GSM1095741_MF21_M32.CEL	SCI	d3
GSM1095742_MF22_M34.CEL	SCI	d3
GSM1095743_MF23_M35.CEL	SCI	d3
GSM1095744_MF24_M36.CEL	SCI	d3
