M0	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15
ENSG00000227232	0.167719999123585	0.0263166962935377	0.101020125241375	-0.110423787256219	0.0593699634816746	0.0356865935765039	-0.228122802121359	-0.19716903264673	-0.012193214425099	-0.0436664524916447	0.128930506163045	-0.10043925779936	0.0179366164131172	0.144124093693596	-0.232835749919936	0.255173834089293
ENSG00000237683	0.197619949787245	-0.35770091708753	-0.174524860434491	0.62111032451884	-0.406829838850572	0.190855617324063	0.184044111971145	0.681942773944849	0.0481012223936976	-0.123384787427944	-0.18784896440086	0.171772343367459	-0.155857716306337	0.221755077975041	0.251734260797253	-0.199397397707962
ENSG00000225972	-0.0432400262732022	-0.27586351260133	0.383966713438511	-0.0292971108490285	0.214264413746973	0.355656579572576	-0.367345997623703	-0.00784896662084677	0.0783970256023143	-0.126326127207457	-0.0831843525762972	-0.31551068748598	0.226561844055795	-0.0379674147984275	-0.0875905096467658	0.308990004217426
ENSG00000225630	0.0164319507497782	-0.271684995033395	0.369728292886299	-0.0280371521348775	0.155774473147283	0.342046756918251	-0.368867741675381	0.0478120755554338	0.0292191865315817	-0.091394003905371	-0.181635660119006	-0.386104486653268	0.143875975859723	0.0624752469313825	-0.0110700421850751	0.253397339014768
ENSG00000237973	0.0793590588736591	-0.316993129944411	0.399111547177578	-0.0136853609270845	0.243399683111367	0.415463080194909	-0.496015718859051	-0.0613196700397361	0.091531807895663	-0.1037458843296	-0.0483751448185543	-0.387774858536361	0.253691254265472	0.0117896484185667	-0.199181097869445	0.45666136536406
ENSG00000229344	-0.051963876158834	-0.346214146042267	0.376130618553759	0.0105416252699184	0.25329098549361	0.401487721205146	-0.3974380133343	0.0256939154599539	0.187809605442544	0.018700079393906	-0.117868427748419	-0.375452916359928	0.252176519441971	-0.0628243229134066	-0.161620720604615	0.333016224606124
ENSG00000240409	-0.0565626034310918	-0.364220719392514	0.399070906109487	0.041077315582798	0.13670244975048	0.419788401080008	-0.403616429358519	0.103273091834277	0.138903795008508	-0.00103868984553032	-0.0627440192654919	-0.310060969428944	0.302790486900223	-0.0630713586936689	-0.196715177463932	0.278692571598201
ENSG00000248527	-0.106622333823415	-0.26087948761312	0.329881628235115	0.0132787463868714	-0.0532681981223487	0.286815438631515	-0.187368228327779	0.221434035498988	-0.0602410361383576	0.00967539510709003	-0.280572394206905	-0.279871180713059	0.0862700333456683	0.0942988823932439	0.207407364838842	-0.0524036952920648
ENSG00000198744	0.0275072968301909	-0.335820251867567	0.363206595576017	0.0283285901096656	0.214521394876727	0.399658035391295	-0.410179336773617	-0.0192394708084093	0.132685558461729	0.01199720747267	-0.0806298764006965	-0.360456183980517	0.213507651353812	-0.00475069853806341	-0.153539524053733	0.372742708917808
ENSG00000188976	0.376631779255087	-0.211377981699561	0.294837415025593	0.0751768085425933	-0.387832250265753	0.315543401095275	-0.308237624535947	0.0811515988391951	-0.350212674643338	-0.249038751366219	0.146417424334869	-0.00842200997655312	0.112629880818385	0.547540411162194	0.178712624027061	0.194030813062953
