condition	level	type	time	species	strain	tissue	gene.name	accession	db	pmid	direction	technique	technique.subtype	ensembl
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	14-3-3 protein zeta/delta	P63102	UniProt	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000164924
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	similar to NGF-binding Ig light chain	IPI0056389	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000205143
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Apolipoprotein A-I	IPI00197703	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000118137
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	alpha-1-microglobulin/bikunin precursor	IPI00210900	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000106927
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	C-reactive protein	IPI00188225	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000132693
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	L-lactate dehydrogenase B chain	IPI00231783	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000111716
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Apolipoprotein H	IPI00778633	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000091583
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Secretogranin-3	IPI00191139	IPI	21559420	downregulated	proteomics	LC-MS/MS	ENSG00000104112
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	FAM3C-like protein	IPI00331757	IPI	21559420	downregulated	proteomics	LC-MS/MS	ENSG00000196937
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Alpha-2-macroglobulin	IPI00392886	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000175899
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Complement C3	IPI00480639	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000125730
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Beta-2-microglobulin	IPI00204359	IPI	21559420	downregulated	proteomics	LC-MS/MS	ENSG00000166710
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	14-3-3 protein gamma	IPI00230835	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000170027
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Complement factor 1	IPI00204451	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000205403
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Prothrombin (Fragment)	IPI00189981	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000180210
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Inter-alpha-trypsin inhibitor heavy chain H3	IPI00326984	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000162267
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Protein kinase C-binding protein	IPI00568410	IPI	21559420	downregulated	proteomics	LC-MS/MS	ENSG00000184613
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	T-cadherin	IPI00200257	IPI	21559420	downregulated	proteomics	LC-MS/MS	ENSG00000140945
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Isoform 1 of Limbic system-associated membrane protein	IPI00209114	IPI	21559420	downregulated	proteomics	LC-MS/MS	ENSG00000185565
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Neuroendocrine protein 7B2	IPI00199030	IPI	21559420	downregulated	proteomics	LC-MS/MS	ENSG00000166922
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Inter-alpha-inhibitor H4 heavy chain	IPI00188541	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000055955
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Carbonic anhydrase 1	IPI00360930	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000133742
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Alpha-1-acid glycoprotein	IPI00191715	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000228278
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Alpha-1-acid glycoprotein	IPI00191715	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000229314
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Protein S100-A8	IPI00231370	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000143546
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Peroxiredoxin-2	IPI00201561	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000167815
spinal cord injury	C4	contusion	1d	10116	Sprague-Dawley	spinal cord;CSF	Carbonic anhydrase 2	IPI00230787	IPI	21559420	upregulated	proteomics	LC-MS/MS	ENSG00000104267
spinal cord injury	C4	contusion	12d	10116	Sprague-Dawley	spinal cord;CSF	matrix metalloproteinase-8	O88766	UniProt	22687332	upregulated	proteomics	microarray	ENSG00000118113
spinal cord injury	lumbar	ischemia	1hr	9986	New Zealand	spinal cord;parenchyma	Annexin A1	P51662	UniProt	25657690	upregulated	proteomics	2-DE	ENSG00000135046
spinal cord injury	lumbar	ischemia	1hr	9986	New Zealand	spinal cord;parenchyma	Calgranulin B	P50117	UniProt	25657690	upregulated	proteomics	2-DE	ENSG00000163220
spinal cord injury	lumbar	ischemia	1hr	9986	New Zealand	spinal cord;parenchyma	Carbonic anhydrase II	P00919	UniProt	25657690	downregulated	proteomics	2-DE	ENSG00000104267
spinal cord injury	lumbar	ischemia	2d	9986	New Zealand	spinal cord;parenchyma	Mitogen-activated protein kinase 1	P29678	UniProt	25657690	upregulated	proteomics	2-DE	ENSG00000169032
spinal cord injury	lumbar	ischemia	1d	9986	New Zealand	spinal cord;parenchyma	Neurofilament Protein M	854353	GI	23752265	upregulated	proteomics	2-DE	ENSG00000104722
spinal cord injury	lumbar	ischemia	1d	9986	New Zealand	spinal cord;parenchyma	Neurofilament Protein M	854353	GI	23752265	downregulated	proteomics	2-DE	ENSG00000104722
spinal cord injury	lumbar	ischemia	1d	9986	New Zealand	spinal cord;parenchyma	Ubiquitin-Activating Enzyme E1	126722847	GI	23752265	downregulated	proteomics	2-DE	ENSG00000130985
spinal cord injury	lumbar	ischemia	1d	9986	New Zealand	spinal cord;parenchyma	Dynamin 1	P13666	UniProt	23752265	downregulated	proteomics	2-DE	ENSG00000185739
spinal cord injury	lumbar	ischemia	1d	9986	New Zealand	spinal cord;parenchyma	"Chain A, Glycogen Phosphorylase B"	195927243	GI	23752265	downregulated	proteomics	2-DE	ENSG00000068976
spinal cord injury	lumbar	ischemia	1d	9986	New Zealand	spinal cord;parenchyma	Brain Glycogen Phosphorylase	P12798	UniProt	23752265	downregulated	proteomics	2-DE	ENSG00000102893
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Glial fibrillary acidic protein	P47819	UniProt	23963509	downregulated	proteomics	iTRAQ	ENSG00000131095
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Tubulin beta-3 chain	Q4QRB4	UniProt	23963509	downregulated	proteomics	iTRAQ	ENSG00000258947
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Serum albumin precursor	P02770	UniProt	23963509	upregulated	proteomics	iTRAQ	ENSG00000163631
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Fructose-bisphosphate aldolase C	P09117	UniProt	23963509	downregulated	proteomics	iTRAQ	ENSG00000109107
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Glutamate dehydrogenase 1	P10860	UniProt	23963509	upregulated	proteomics	iTRAQ	ENSG00000182890
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Glutamate dehydrogenase 1	P10860	UniProt	23963509	upregulated	proteomics	iTRAQ	ENSG00000148672
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Clathrin heavy chain 1	P11442	UniProt	23963509	downregulated	proteomics	iTRAQ	ENSG00000141367
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Ras-related protein Rab-3A	P63012	UniProt	23963509	upregulated	proteomics	iTRAQ	ENSG00000105649
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Secernin-1	Q6AY84	UniProt	23963509	downregulated	proteomics	iTRAQ	ENSG00000136193
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Carbonic anhydrase 2	P27139	UniProt	23963509	upregulated	proteomics	iTRAQ	ENSG00000104267
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	C-reactive protein precursor	P48199	UniProt	23963509	upregulated	proteomics	iTRAQ	ENSG00000132693
spinal cord injury	T10	contusion	1d	10116	Long-Evans	spinal cord;parenchyma	Serotransferrin precursor	P12346	UniProt	23963509	upregulated	proteomics	iTRAQ	ENSG00000091513
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Enoyl-CoA hydratase domain-containing protein	Q6AYG5	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000093144
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Pyruvate kinase isoyzymes M1/M2	P11980	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000067225
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	"2',3'-cyclic-nucleotide 3'prosphodiesterase"	P13233	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000173786
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Peroxiredoxin-6	O35244	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000117592
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	COP9 signaolosome complex subunit 8	Q6P4Z9	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000198612
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Alpha-soluble NSF attachment protein	P54921	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000105402
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Stathmin OS	P13668	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000117632
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Histidine triad nucleotide-binding protein 1	P62959	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000169567
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	L-lactate dehydrogenase B chain	P42123	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000111716
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Nucleolar RNA helicase 2	Q3B8Q1	UniProt	24004276	downregulated	proteomics	2-DE	ENSG00000165732
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Ubiquitin-40S ribosomal protein S27a	P62982	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000143947
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Fibroblast growth factor 23	Q8VI82	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000118972
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Glial fibrillary acidic protein	P47819	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000131095
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Pleckstrin homology domain-containing family B member	Q9WU68	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000021300
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Protein disulfide-isomerase A3	P11598	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000167004
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	CCR4-NOT transcription complex subunit 10	Q5XIA4	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000182973
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Splicing factor U2AF 26kDa subunit	Q7TP17	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000161265
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Fructose-bisphosphate aldolase C	P09117	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000109107
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Glutathione S-transferase Mu 5	Q9Z1B2	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000134202
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Mitogen-activated protein kinase 3	P21708	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000102882
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	D-3-phosphoglycerate dehydrogenase	O08651	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000092621
spinal cord injury	T10	contusion	35d	10116	Sprague-Dawley	spinal cord;parenchyma	Fascin	P85845	UniProt	24004276	upregulated	proteomics	2-DE	ENSG00000075618
spinal cord injury	T10	transection	1d	10116	Wistar	spinal cord;parenchyma	Ribonuclease inhibitor isoform a	NP_001257691	RefSeq	24288130	upregulated	proteomics	immunoblot	ENSG00000023191
spinal cord injury	T10	transection	3d	10116	Wistar	spinal cord;parenchyma	Ribonuclease inhibitor isoform a	NP_001257691	RefSeq	24288130	upregulated	proteomics	immunoblot	ENSG00000023191
spinal cord injury	T10	transection	5d	10116	Wistar	spinal cord;parenchyma	Ribonuclease inhibitor isoform a	NP_001257691	RefSeq	24288130	upregulated	proteomics	immunoblot	ENSG00000023191
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Uncharacterized protein	IPI00464440	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000164466
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Oligosaccharyltransferase complex subunit OSTC	IPI00373430	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000198856
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Uncharacterized protein	IPI00368457	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000189369
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Uncharacterized protein	IPI00368457	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000103342
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Olfactory receptor Olf1121	IPI00187805	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000170929
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	ATP synthase protein 8	IPI00195772	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000228253
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Uncharacterized protein	IPI00206354	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000130748
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Transcription elongation factor B polypeptide 2	IPI00210012	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000103363
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Small VCP/p97-interacting protein	IPI00561657	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000198168
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Uncharacterized protein	IPI00471762	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000008282
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Peptidyl-prolyl cis-trans isomerase FKBP1A	IPI00231434	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000088832
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Vcuolar protein sorting-associated protein 4A	IPI00204016	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000132612
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Isoform 2 of Basigin	IPI00193425	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000172270
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Thioredoxin-like 1	IPI00231368	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000136810
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Uncharacterized protein	IPI00421427	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000130876
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	60S ribosomal protein L11	IPI00359103	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000142676
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock protein HSP 90-beta	IPI00471584	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000096384
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock 70-kDa protein 4	IPI00387868	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000170606
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	"10-kDa heat shock protein, mitochondrial"	IPI00326433	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000115541
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock protein 105 kDa	IPI00471835	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000120694
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	"Heat shock protein 75 kDa, mitochondrial"	IPI00369217	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000126602
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	"60-kDa heat shock protein, mitochondrial"	IPI00339148	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000144381
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock protein HSP 90-alpha	IPI00210566	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000080824
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock cognate 71-kDa protein	IPI00208205	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000109971
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock-rleated 70-kDa protein 2	IPI00207355	IPI	24499940	upregulated	proteomics	iTRAQ	ENSG00000126803
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock 70-kDa protein 13	IPI00206300	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000155304
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock factor-binding protein 1	IPI00202706	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000230989
spinal cord injury	T9	contusion	8hr	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock protein beta-1	IPI00201586	IPI	24499940	downregulated	proteomics	iTRAQ	ENSG00000106211
spinal cord injury	T11	transection	14d	10116	Sprague-Dawley	spinal cord;parenchyma	Synaptosomal-associated protein 25	P60881	UniProt	24519330	downregulated	proteomics	western blot	ENSG00000132639
spinal cord injury	T11	transection	28d	10116	Sprague-Dawley	spinal cord;parenchyma	Synaptosomal-associated protein 25	P60881	UniProt	24519330	downregulated	proteomics	western blot	ENSG00000132639
spinal cord injury	L2	human	7d	9606	human	spinal cord;CSF	Haptoglobin	P00738	UniProt	25350754	downregulated	proteomics	DIGE	ENSG00000257017
spinal cord injury	L2	human	7d	9606	human	spinal cord;CSF	Zinc alpha 2 glycoprotein	P25311	UniProt	25350754	downregulated	proteomics	DIGE	ENSG00000160862
spinal cord injury	L2	human	7d	9606	human	spinal cord;CSF	Transferrin	P02787	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000091513
spinal cord injury	L2	human	7d	9606	human	spinal cord;CSF	Beta-2-glycoprotein I-precursor (Apolipoprotein H)	P02749	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000091583
spinal cord injury	L2	human	7d	9606	human	spinal cord;CSF	General transcription factor 3C polypeptide 5	Q12789	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000077235
spinal cord injury	L2	human	7d	9606	human	spinal cord;CSF	Serum albumin precursor	P02768	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000163631
spinal cord injury	L2	human	7d	9606	human	spinal cord;CSF	Ig gamma-2 chain C region	P01859	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000211893
spinal cord injury	L2	human	15-60d	9606	human	spinal cord;CSF	Haptoglobin	P00738	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000257017
spinal cord injury	L2	human	15-60d	9606	human	spinal cord;CSF	Zinc alpha 2 glycoprotein	P25311	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000160862
spinal cord injury	L2	human	15-60d	9606	human	spinal cord;CSF	Transferrin	P02787	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000091513
spinal cord injury	L2	human	15-60d	9606	human	spinal cord;CSF	Beta-2-glycoprotein I-precursor (Apolipoprotein H)	P02749	UniProt	25350754	downregulated	proteomics	DIGE	ENSG00000091583
spinal cord injury	L2	human	15-60d	9606	human	spinal cord;CSF	General transcription factor 3C polypeptide 5	Q12789	UniProt	25350754	downregulated	proteomics	DIGE	ENSG00000077235
spinal cord injury	L2	human	15-60d	9606	human	spinal cord;CSF	Serum albumin precursor	P02768	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000163631
spinal cord injury	L2	human	15-60d	9606	human	spinal cord;CSF	Ig gamma-2 chain C region	P01859	UniProt	25350754	upregulated	proteomics	DIGE	ENSG00000211893
spinal cord injury	lumbar	ischemia	1d	9986	New Zealand	spinal cord;parenchyma	neurofilament protein M	P54938	UniProt	25374588	upregulated	proteomics	2-DE	ENSG00000104722
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	"Plasma membrane 1, isoform CRA_b"	P11505	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000070961
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Ganglioside-induced differentiation-associated-protein 1	D4A5X7	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000104381
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Myristoylated alanine-rich C-kinase substrate	F1LMW7	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000277443
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	NADH dehydrogenase 1 alpha subcomplex	F1LXA0	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000184752
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	"2,4-dienoyl-CoA reductase, CRA_a"	Q64591	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000104325
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Apolipoprotein D	P23593	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000189058
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Sodium- and chloride-dependent GABA transporter 3	P31647	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000132164
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	14-3-3 protein beta/alpha	P35213	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000166913
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Rho-related GTP-binding protein RhoB	P62747	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000143878
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	3-mercaptopyruvate sulfurtransferase	P97532	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000128309
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Synapticvesicleglycoprotein 2A	Q02563	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000159164
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Valine-tRNA ligase	Q04462	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000096171
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Glycolipidtransferprotein	B0BNM9	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000139433
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	ProteinPgp	D3ZDK7	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000184207
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	"Chaperonin subunit 8, isoform CRA_a"	D4ACB8	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000156261
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Stress-induced-phosphoprotein 1	O35814	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000168439
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Calreticulin	P18418	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000179218
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Proteasomesubunit beta type-1	Q6PDW4	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000008018
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Dodecenoyl-Coenzyme A delta isomerase	Q68G41	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000167969
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	"ATP synthase subunit d, mitochondrial"	P31399	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000167863
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	UMP-CMP kinase	Q4KM73	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000162368
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	Ubiquitin-like modifier-activatingenzy. 1	Q5U300	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000130985
spinal cord injury	T9	balloon compression	7d	10116	Wistar	spinal cord;parenchyma	LETM1 and EF-hand domain protein 1	Q5XIN6	UniProt	26348665	upregulated	proteomics	NanoLC-HR- MS/MS	ENSG00000168924
