condition	level	type	time	species	strain	tissue	gene.name	accession	db	pmid	direction	technique	technique.subtype	ensembl
spinal cord injury	T9	transection	5d	10116	Wistar	spinal cord;parenchyma	"Glutamate dehydrogenase, mitochondrial precursor"	P10860	UniProt	16372269	upregulated	proteomics	2-DE	ENSG00000182890
spinal cord injury	T9	transection	5d	10116	Wistar	spinal cord;parenchyma	"Glutamate dehydrogenase, mitochondrial precursor"	P10860	UniProt	16372269	upregulated	proteomics	2-DE	ENSG00000148672
spinal cord injury	T9	transection	5d	10116	Wistar	spinal cord;parenchyma	Glypican	P51653	UniProt	16372269	upregulated	proteomics	2-DE	ENSG00000213420
spinal cord injury	T9	transection	5d	10116	Wistar	spinal cord;parenchyma	Cyclic nucleotide gated channel 2	Q00195	UniProt	16372269	upregulated	proteomics	2-DE	ENSG00000183862
spinal cord injury	T9	transection	5d	10116	Wistar	spinal cord;parenchyma	Transferrin	P12346	UniProt	16372269	upregulated	proteomics	2-DE	ENSG00000091513
spinal cord injury	T9	transection	5d	10116	Wistar	spinal cord;parenchyma	Phospholipase A2	P97570	UniProt	16372269	upregulated	proteomics	2-DE	ENSG00000184381
spinal cord injury	T9	transection	5d	10116	Wistar	spinal cord;parenchyma	11-Zinc finger protein	Q9R1D1	UniProt	16372269	upregulated	proteomics	2-DE	ENSG00000102974
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Voltage dependent anion channel 1	13786200	GI	16586436	upregulated	proteomics	2-DE	ENSG00000213585
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	H+-transporting two-sector ATPase (EC 3.6.3.14) alpha chain precursor	P15999	UniProt	16586436	upregulated	proteomics	2-DE	ENSG00000152234
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Unknown (protein for MGC:93500)	56540994	GI	16586436	upregulated	proteomics	2-DE	ENSG00000091513
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Similar to RhoGDI-1	NP_001007006	RefSeq	16586436	upregulated	proteomics	2-DE	ENSG00000141522
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Similar to leucine aminopeptidase	NP_001011910	RefSeq	16586436	upregulated	proteomics	2-DE	ENSG00000002549
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Peroxiredoxin 2	34849738	GI	16586436	upregulated	proteomics	2-DE	ENSG00000167815
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Peroxiredoxin 6	16758348	GI	16586436	upregulated	proteomics	2-DE	ENSG00000117592
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Mitochondrial H+-ATP synthase alpha subunit	40538742	GI	16586436	upregulated	proteomics	2-DE	ENSG00000152234
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Phosphoglycerate mutase type B subunit	8248819	GI	16586436	upregulated	proteomics	2-DE	ENSG00000171314
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Pyruvate kinase 3	16757994	GI	16586436	upregulated	proteomics	2-DE	ENSG00000067225
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	"Aconitase 2, mitochrondrial"	40538860	GI	16586436	upregulated	proteomics	2-DE	ENSG00000100412
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Albumin	NP_599153	RefSeq	16586436	upregulated	proteomics	2-DE	ENSG00000163631
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Apolipoprotein A-I precursor	P04639	UniProt	16586436	upregulated	proteomics	2-DE	ENSG00000118137
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Annexin 5	51858950	GI	16586436	upregulated	proteomics	2-DE	ENSG00000164111
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Annexin A2	9845234	GI	16586436	upregulated	proteomics	2-DE	ENSG00000182718
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Cyclic nucleotide phosphodiesterase 1	NP_036941	RefSeq	16586436	upregulated	proteomics	2-DE	ENSG00000173786
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	"Neurofilamint, light polypeptide"	13929098	GI	16586436	upregulated	proteomics	2-DE	ENSG00000277586
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Glial fibrillary acidic protein delta	5030428	GI	16586436	upregulated	proteomics	2-DE	ENSG00000131095
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	"Tubulin, alpha 1"	38328248	GI	16586436	upregulated	proteomics	2-DE	ENSG00000167552
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Tubulin beta chain 15	Q3KRE8	UniProt	16586436	upregulated	proteomics	2-DE	ENSG00000137285
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Peripherin	NP_036765	RefSeq	16586436	upregulated	proteomics	2-DE	ENSG00000135406
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Tumor rejection antigen gp96	NP_001012197	RefSeq	16586436	upregulated	proteomics	2-DE	ENSG00000166598
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Unknown (protein for MGC:94172)	50926985	GI	16586436	upregulated	proteomics	2-DE	ENSG00000136193
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	FK506 binding protein 4	22324680	GI	16586436	upregulated	proteomics	2-DE	ENSG00000004478
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Unnamed protein product	Q6P9T8	UniProt	16586436	upregulated	proteomics	2-DE	ENSG00000188229
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Unknown (protein for MGC:73008)	38014578	GI	16586436	upregulated	proteomics	2-DE	ENSG00000188229
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Unknown (protein for MGC:94596)	55715677	GI	16586436	upregulated	proteomics	2-DE	ENSG00000071127
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Hypothetical protein XP_216453	NP_058704	RefSeq	16586436	upregulated	proteomics	2-DE	ENSG00000111640
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Heart shock 27 kDa protein 1	NM_031970	RefSeq_NT	16586436	downregulated	proteomics	2-DE	ENSG00000106211
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Septin 2	16924010	GI	16586436	downregulated	proteomics	2-DE	ENSG00000168385
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	"Chaperonin containing TCP1, subunit 3"	40018616	GI	16586436	downregulated	proteomics	2-DE	ENSG00000163468
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Similar to CT (chaperonin containing TCP-1) zeta subunit	NP_001028856	RefSeq	16586436	downregulated	proteomics	2-DE	ENSG00000146731
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Similar to translation initiation factor eIF-4A II	55716055	GI	16586436	downregulated	proteomics	2-DE	ENSG00000156976
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Pyruvate dehydrogenase beta	50925725	GI	16586436	downregulated	proteomics	2-DE	ENSG00000168291
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	NADH dehydrogenase 1 alpha subcomplex 10-like protein	30171809	GI	16586436	downregulated	proteomics	2-DE	ENSG00000130414
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Phgdh protein	55562727	GI	16586436	downregulated	proteomics	2-DE	ENSG00000092621
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Dynamin 1	18093102	GI	16586436	downregulated	proteomics	2-DE	ENSG00000106976
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Fscn1 protein	P85845	UniProt	16586436	downregulated	proteomics	2-DE	ENSG00000075618
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Reticulocalbin 2	NP_058828	RefSeq	16586436	downregulated	proteomics	2-DE	ENSG00000117906
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Neuronal differentiation-related gene	NP_647549	RefSeq	16586436	downregulated	proteomics	2-DE	ENSG00000110107
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	CDCreI-1AI	19909845	GI	16586436	downregulated	proteomics	2-DE	ENSG00000184702
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Guanidinoacetate methyltransferase	NP_036925	RefSeq	16586436	downregulated	proteomics	2-DE	ENSG00000130005
spinal cord injury	T9	transection	1d	10116	Wistar	spinal cord;parenchyma	Adenylyl cyclase-associated protein (CAP) homo-log MCH1	Q08163	UniProt	16586436	downregulated	proteomics	2-DE	ENSG00000131236
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Protein-disulfide isomerase A3 precursor	P11598	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000167004
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Calreticulin precursor	P18418	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000179218
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	"Aldehyde dehydrogenase, mitochondrial"	P11884	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000111275
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Transferrin	P12346	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000091513
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Rho GDP dissociation inhibitor 1	Q5XI73	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000141522
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	F-box only protein 2	B2RYJ7	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000115073
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Keratan sulfate proteoglycan lumican	P51886	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000139329
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	G protein beta-2 subunit	P54313	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000172354
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Tropomyosin beta chain	P58775	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000198467
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Apolipoprotein E precursor	P02650	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000130203
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	"Malate dehydrogenase, cytoplasmic"	O88989	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000014641
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Serum albumin precursor	P02770	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000163631
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Ubiquitin carboxyl-terminal hydrolase isozyme L1	Q00981	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000154277
