module	p	direction	sig
2	2.05016037048501e-126	down	TRUE
3	7.9746383437481e-75	up	TRUE
7	9.42795192490142e-67	up	TRUE
1	4.68397129155936e-21	down	TRUE
8	2.5449679826952e-16	up	TRUE
6	1.94637592844923e-12	up	TRUE
11	6.22932355046081e-06	up	TRUE
12	0.0199421308887651	down	TRUE
14	0.804577941406326	up	FALSE
5	1.74377820267128	down	FALSE
13	3.68021078057141	up	FALSE
4	6.27649515998048	down	FALSE
15	8.31676333896648	down	FALSE
10	9.9962559935003	down	FALSE
9	13.9140444629954	up	FALSE
9	18.0865659853327	down	FALSE
10	22.004302617177	up	FALSE
15	23.6842487696164	up	FALSE
4	25.7238360245657	up	FALSE
13	28.3201430097642	down	FALSE
5	30.2563527139303	up	FALSE
14	31.1955553776018	down	FALSE
12	31.9800614826861	up	FALSE
11	31.9999937722417	down	FALSE
6	31.9999999999981	down	FALSE
3	32	down	FALSE
2	32	up	FALSE
1	32	up	FALSE
8	32	down	FALSE
7	32	down	FALSE
