target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	ens_human
ENSRNOG00000016724	8.82783062231415e-53	1.25302227853127e-48	-0.0108421437174809	0.000709070627766298	7.74131862775441	0.950657340403394	0.000851183497779703	0.0494269320183096	0.0358297578431497	0.0494269320183096	ENSG00000082397
ENSRNOG00000002358	1.97789814023151e-49	5.61485724048921e-46	0.0101293225426325	0.000685349683113687	6.5308877361849	0.832612503310854	0.00291000411674769	0.0440604146976554	0.0398955725771132	0.0440604146976554	ENSG00000121064
ENSRNOG00000020248	2.20100313989071e-47	4.46300550965839e-44	-0.0128429700486011	0.000888236124917547	7.42921160580459	1.34161108178899	0.0014716044577151	0.077424736903139	0.0359039679543725	0.077424736903139	ENSG00000148798
ENSRNOG00000008565	4.23173340813011e-47	6.67391377722208e-44	-0.00942541897652152	0.000653912122390833	6.50150019836403	0.717994490628748	0.0025878601355977	0.0349184806874469	0.0401722462453707	0.0401722462453707	ENSG00000197885
ENSRNOG00000018019	7.22273577218876e-47	1.02519511550447e-43	-0.00891930889926231	0.000620390337294058	7.00565081235588	0.643754496689499	0.00159765537671232	0.0328524556997478	0.0368907616840712	0.0368907616840712	ENSG00000165868
ENSRNOG00000002660	4.32065673592762e-43	3.60749421822098e-40	-0.0109858469712029	0.000798280240108524	6.5794029151808	0.987198844428152	0.00320388588821905	0.0605212482865531	0.0394653422537582	0.0605212482865531	ENSG00000198934
ENSRNOG00000019219	4.95142013817186e-41	3.05567206266137e-38	-0.011920579076705	0.000888612755738045	8.4534222578193	1.1659676698454	0.000530060848191353	0.0784332021178449	0.0376448397675299	0.0784332021178449	ENSG00000139190
ENSRNOG00000015420	9.36815531650197e-40	5.11429217547804e-37	-0.00938443578930326	0.000711208325778621	6.90164123678824	0.724134172887983	0.00141350321014841	0.0491682250555345	0.0373430584947289	0.0491682250555345	ENSG00000136854
ENSRNOG00000019387	6.13926639015563e-39	3.11216954078104e-36	0.0134232006525265	0.00102839066734821	5.06660555016765	1.48364126257118	0.0207906308958594	0.0849681055730302	0.0775340735199823	0.0849681055730302	ENSG00000216490
ENSRNOG00000030269	7.09236404882587e-38	3.05057622148589e-35	-0.0123517799192994	0.000960113909373875	6.91113189899915	1.25867916771142	0.00307800481139174	0.0891038670859269	0.037297597476325	0.0891038670859269	ENSG00000157087
ENSRNOG00000021110	4.38547938760311e-37	1.77849984078967e-34	-0.00956654130349542	0.000751887557826918	7.03719266678488	0.756174856206638	0.00168839419003685	0.0548450957714559	0.0367727167358983	0.0548450957714559	ENSG00000213190
ENSRNOG00000009783	8.23790222218566e-37	3.07707326688693e-34	-0.00793504417642639	0.000626087263199753	6.86997064207883	0.516872071751027	0.00169738530529743	0.0335396417429955	0.0375011408087982	0.0375011408087982	ENSG00000148660
ENSRNOG00000026745	1.21320173201552e-35	4.30504634605706e-33	-0.00753482611377774	0.000604656338471989	7.80152262282341	0.469162355973674	0.000685726974125647	0.0344601206234632	0.0358752017913096	0.0358752017913096	ENSG00000164398
ENSRNOG00000008169	1.36233523412866e-35	4.71633812517616e-33	-0.00754166372492327	0.000605654540014749	8.07651709244813	0.4618592252168	0.000349928437466919	0.0260251343822034	0.0363318137465808	0.0363318137465808	ENSG00000155886
ENSRNOG00000011705	5.15107338973315e-35	1.66168944758801e-32	-0.00870267849600014	0.000704926958405963	7.63077573584224	0.628459055423023	0.000976531294859068	0.0487156703738892	0.035796720412862	0.0487156703738892	ENSG00000104435
