S1.200.SpinalCord_S1_R1_001	S10.100.SpinalCord_S10_R1_001	S11.0.SpinalCord_S11_R1_001	S12.0.SpinalCord_S12_R1_001	S13.0.SpinalCord_S13_R1_001	S14.0.SpinalCord_S14_R1_001	S15.0.SpinalCord_S15_R1_001	S2.200.SpinalCord_S2_R1_001	S3.200.SpinalCord_S3_R1_001	S4.200.SpinalCord_S4_R1_001	S5.200.SpinalCord_S5_R1_001	S6.100.SpinalCord_S6_R1_001	S7.100.SpinalCord_S7_R1_001	S8.100.SpinalCord_S8_R1_001
ENSG00000000003	78.4037034870007	79.8184478090183	87.7770369476457	73.8201088703898	65.6605199636032	63.7661405882938	68.6213475958539	100.220619989079	93.172182976521	76.4434784194784	78.3961537449607	78.5928640518031	102.776266662967	95.9678725194064
ENSG00000000419	33.6876980640309	35.0385563257852	38.3293103245654	38.5983254873402	36.9767175765088	38.539259231177	48.6631534656316	40.364217333658	36.2094153285917	39.8800802761604	31.9415067145729	30.6220116908902	41.690341215679	43.9419007076832
ENSG00000000938	0.900730166384198	0.766071882640869	0.0394578448423653	0.161874735113714	0	0.130933624966877	0	0.562108409804159	1.05300858080443	1.81758726897886	0.957519943441359	1.18794631353065	0.457996951910561	0.592220742314825
ENSG00000000971	619.124650055306	462.525556261993	104.719990349827	80.5444540468273	104.855977304939	72.7778401404317	82.7536637540038	774.034762770308	725.691835829758	730.968586236709	499.651454196587	397.085969562328	541.584576892927	386.463320443256
ENSG00000001036	11.3929353563965	9.33515862651208	10.5721279146561	16.7342469725427	10.2749633397791	16.8827112877285	18.1839123957819	10.1256470133451	10.9072889568162	10.2210491611106	14.374516174998	13.3178616986309	8.8850340331596	11.6257105084047
ENSG00000001084	35.3215832371853	26.4298729925864	30.1296759879936	25.7587192899397	26.6533959157883	26.7898840195648	27.3721074904268	40.3801768233347	30.5872341938243	32.0193173773501	22.2405952119048	24.2589471002473	31.0155410829913	31.0807691241261
ENSG00000001167	6.08208907405596	7.3430743380776	2.45186732314219	3.46666197365707	2.32364215492896	3.8287387899838	3.79862425350624	8.38176079102813	7.43811284915841	9.26910769683955	8.83414012615829	8.19314810486174	6.49092051851836	5.09136760398705
ENSG00000001461	0	0.23518245417414	0.136305654632323	0.505302681444712	0.283992113779427	0.721907236882012	0.13353718695772	0.092305302155171	0.183526220739422	0.188459630478885	0.776855751630096	0.466117135480566	0.140577109156873	0.136397473656418
ENSG00000001497	19.4018082379996	14.9382384823985	15.6861114835598	16.7105475878599	11.7169820546633	13.7014301464116	14.0337419255585	13.7216758278007	13.1367393956582	15.9881833364965	19.8674055444525	16.8676821995899	13.4931215615311	15.0811025202105
ENSG00000001561	77.5914921502735	133.93242695195	157.16028470962	140.890452943747	205.715848005777	160.638247312823	183.804763295564	113.809772071042	98.5280922387201	75.7726608946854	81.6285291389584	96.1657696415827	120.621714166483	124.310687495099
ENSG00000001629	24.2732391185874	34.2599830629083	37.8538701759302	24.3145215568286	43.334317757249	24.657020183823	32.9235618012705	34.1525027700515	30.0004174747884	25.126404550965	22.9970829711562	23.858553974625	32.8612889831277	31.3270927359716
ENSG00000001630	45.8147015210586	116.553044353004	404.014038151636	369.629545209993	457.885297495242	299.078594048209	403.627161828693	52.1150833499255	56.9735517803318	36.8679617944979	72.4157366537885	88.3325558092061	64.2175796434871	119.629714578688
ENSG00000001631	31.5342802941463	41.2546196143584	38.8295399675417	31.2033465451019	34.4690533647789	32.8945903493105	39.0929239394659	43.5766690112885	41.1801036140395	34.3902226308298	25.9702423513498	29.869821441254	39.7816101795014	45.0131138936668
ENSG00000002549	91.9944182490717	73.7864360354818	31.9128724302694	39.970207296985	38.8881426263386	38.9283791767532	40.6414825766731	106.265096115633	83.5941886641505	79.6508417481433	72.8420558243201	74.9176161274001	112.929186759788	87.979062501843
ENSG00000002834	9.45029845983384	5.66491264320936	1.93479882312151	5.06824417824543	3.4085020200064	5.40360783179868	4.37582090655672	6.43468355050241	8.42301698557899	11.1999807976164	11.5827926684345	9.27484907410866	6.5607628518606	6.26376564174911
ENSG00000002919	1.91592849382126	1.51860441154801	1.3721990204935	2.74736636494776	1.18328748544873	2.15182876284247	2.65192203413631	2.49144116820825	1.55971507698179	2.34809484258752	2.56042236818346	2.40309826204779	1.09284015258191	1.36327290780257
ENSG00000002933	74.9940728592427	41.937816467185	5.70376160814764	11.1769460719391	3.71650872684975	10.1026546868034	4.53163479165514	32.2184913460586	44.6860980600976	53.2452823371945	77.0515144670566	62.0397029649678	29.8823827022009	32.0526026266669
ENSG00000003056	111.315977099795	67.047188158044	41.4118010726465	62.6649360483852	58.3271659242909	57.7892634939775	61.8933930271646	106.771228302734	100.502362952034	107.44547537082	104.591759904728	92.151065409797	78.5897475442496	78.4500253274164
ENSG00000003249	0.0749329660968468	0.25459471570738	0.484549381955325	1.09558280237197	0.251709244840491	0.889675608800031	0.444307792529003	0.36753488691108	0	0.11381872227786	0.386554449561664	0.331070013641444	0.163807167789505	0.227329868600941
ENSG00000003756	16.5343823359228	15.3146899440849	9.31247151897253	16.6586935156414	10.6753255961825	15.5499570108367	11.8831195666961	14.7752297711972	15.7501069255696	17.2172405844124	20.1981479474808	18.4174624059189	10.4380974864073	14.2227030080881
