filename	tissue	time	group
GSM1698027_090926-Rat230_2-09266C_dR1_3d.CEL	Rostral	03d	chitosan
GSM1698026_090729-Rat230_2-09266A_dR3-d.CEL	Rostral	01d	chitosan
GSM1698025_090729-Rat230_2-09266A_dR2-d.CEL	Rostral	01d	chitosan
GSM1698024_090729-Rat230_2-09266A_dR1-d.CEL	Rostral	01d	chitosan
GSM1698023_090729-Rat230_2-09266A_nor3.CEL	Uninjured	x	Uninjured
GSM1698022_090729-Rat230_2-09266A_nor2.CEL	Uninjured	x	Uninjured
GSM1698021_090729-Rat230_2-09266A_nor1.CEL	Uninjured	x	Uninjured
GSM1698020_091114-Rat230_2-09266D_SM3-90d.CEL	Middle	90d	Control
GSM1698019_091114-Rat230_2-09266D_SM2-90d.CEL	Middle	90d	Control
GSM1698018_091114-Rat230_2-09266D_SM1-90d.CEL	Middle	90d	Control
GSM1698017_091113-Rat230_2-09266D_SM3-60d.CEL	Middle	60d	Control
GSM1698016_091113-Rat230_2-09266D_SM2-60d.CEL	Middle	60d	Control
GSM1698015_091113-Rat230_2-09266D_SM1-60d.CEL	Middle	60d	Control
GSM1698014_090930-Rat230_2-09266C_sM3_30d.CEL	Middle	30d	Control
GSM1698013_090930-Rat230_2-09266C_sM2_30d.CEL	Middle	30d	Control
GSM1698012_090930-Rat230_2-09266C_sM1_30d.CEL	Middle	30d	Control
GSM1698011_100413-Rat230_2-09363E_SM5-20d.CEL	Middle	20d	Control
GSM1698010_090929-Rat230_2-09266C_sM3_20d.CEL	Middle	20d	Control
GSM1698009_090929-Rat230_2-09266C_sM2_20d.CEL	Middle	20d	Control
GSM1698008_090828-Rat230_2-09266B_sm3-10d.CEL	Middle	10d	Control
GSM1698007_090828-Rat230_2-09266B_sm2-10d.CEL	Middle	10d	Control
GSM1698006_100108-Rat230_2-09266E_SM1-10d.CEL	Middle	10d	Control
GSM1698005_090926-Rat230_2-09266C_sM3_3d.CEL	Middle	03d	Control
GSM1698004_090926-Rat230_2-09266C_sM2_3d.CEL	Middle	03d	Control
GSM1698003_090926-Rat230_2-09266C_sM1_3d.CEL	Middle	03d	Control
GSM1698002_090729-Rat230_2-09266A_KM3-3d.CEL	Middle	03d	Tube
GSM1698001_090729-Rat230_2-09266A_KM2-3d.CEL	Middle	03d	Tube
GSM1698000_090729-Rat230_2-09266A_KM1-3d.CEL	Middle	03d	Tube
GSM1697999_091113-Rat230_2-09266D_dM3-90d.CEL	Middle	90d	chitosan
GSM1697998_091113-Rat230_2-09266D_dM2-90d.CEL	Middle	90d	chitosan
GSM1697997_091120-Rat230_2-09266D_dM1-90d.CEL	Middle	90d	chitosan
GSM1697996_091113-Rat230_2-09266D_dM3-60d.CEL	Middle	60d	chitosan
GSM1697995_091113-Rat230_2-09266D_dM2-60d.CEL	Middle	60d	chitosan
GSM1697994_091113-Rat230_2-09266D_dM1-60d.CEL	Middle	60d	chitosan
GSM1697993_090930-Rat230_2-09266C_dM3_30d.CEL	Middle	30d	chitosan
GSM1697992_090930-Rat230_2-09266C_dM2_30d.CEL	Middle	30d	chitosan
GSM1697991_090930-Rat230_2-09266C_dM1_30d.CEL	Middle	30d	chitosan
GSM1697990_090929-Rat230_2-09266C_dM3_20d.CEL	Middle	20d	chitosan
GSM1697989_090929-Rat230_2-09266C_dM2_20d.CEL	Middle	20d	chitosan
GSM1697988_090929-Rat230_2-09266C_dM1_20d.CEL	Middle	20d	chitosan
GSM1697987_090828-Rat230_2-09266B_dM3-10d.CEL	Middle	10d	chitosan
GSM1697986_090828-Rat230_2-09266B_dM2-10d.CEL	Middle	10d	chitosan
GSM1697985_090828-Rat230_2-09266B_dM1-10d.CEL	Middle	10d	chitosan
